,1_Jun-Lung_Control,2_Jun-Lung_GSK,6_Oct-Lung_Placebo,4_Aug-Lung3_GSK
Ebf1,0.07305951553882441,0.08514414523419239,0.05359548233923611,0.05140247315853802
Ddit3,0.30704449922213545,0.28884456645963186,0.17153224591173608,0.1912638745143275
Sox4,0.22984082852475693,0.23163106257106097,0.15887287795562502,0.15775715494795317
Mafb,0.09151171024395337,0.09186429996164687,0.05368779960347222,0.06539912101526317
Nfib,0.0666297391107515,0.07670777762576803,0.04545081535597221,0.049838661890116966
Hes1,0.09569829322990825,0.0937513669076168,0.048361848270902785,0.062024974183859646
Bhlhe41,0.1080592070452728,0.1082440249354236,0.08710474375305559,0.08095217550298245
Tcf7l2,0.09064096354031251,0.09303790230782265,0.07719086603326387,0.061557752143625744
Irf8,0.07241456046656747,0.05790351112293349,0.05016299480298612,0.07267875350216374
Nkx2-1,0.0809379771214484,0.0817984845957601,0.04230870628083333,0.05127071834222223
Atf3,0.05299795928954366,0.05676263617664291,0.04158718440124999,0.034001959102982454
Cebpa,0.05460936348529514,0.05406179133837291,0.03283793631597221,0.0330630430719883
Mef2c,0.20621224549785216,0.21663642198599367,0.097018251704375,0.09833292493543858
Ikzf2,0.1832319587311359,0.1913430199843745,0.1603066467609028,0.15217090400397662
Nr1d1,0.07367420619856647,0.06332382149747823,0.023511724869027775,0.03197418290210526
Maf,0.10841332127310022,0.11722263277070466,0.1389885782625,0.11541588092304092
Gata6,0.06821493678238094,0.06598947682078385,0.041374890141874995,0.04744440581649121
Egr1,0.11340578322198165,0.14167931542280285,0.14680203508881948,0.12300340341298244
Klf4,0.05267618255404514,0.06148885377442597,0.026310648280208335,0.031301801796315795
Egr2,0.08783359358007936,0.07077435725294932,0.044393640804305544,0.054293177869883046
Ehf,0.1342891176150372,0.13039987520982976,0.07564554491152777,0.07431243739900584
Ahr,0.11223951625487105,0.10395052866491686,0.06769402681868054,0.08003546469614033
Sox2,0.06671810936268849,0.0591738273315281,0.04083952487131945,0.030723078288479522
Bcl11b,0.08229961178806053,0.07117759185716549,0.051222674723611084,0.05203953062497078
Ar,0.09148481146940475,0.09546960528064133,0.0494381617617361,0.05383914146947369
Irf7,0.12610238126004714,0.1122338119197783,0.12843956889062502,0.1282791472671345
Pparg,0.062378079654060024,0.07926353499401823,0.02562350367479166,0.07334339386754386
Dnmt1,0.4847717524764074,0.48509930503960336,0.26481263471640976,0.2574425232648304
Nr2f2,0.4279063193998589,0.4007222962337863,0.23092869506922223,0.2372363989447602
Fosb,0.13176823838242063,0.13724927186830957,0.07203304912861112,0.09863838040660818
Lef1,0.345389636775563,0.3578886739989945,0.19049891158986107,0.17276461206783628
Tcf7,0.07744756424785715,0.08372648554036419,0.06654534180833334,0.07129460851695907
Pbx1,0.07138590415823412,0.07874011879935075,0.04018498586777778,0.05912900726257311
Ikzf3,0.17233684008524802,0.18820671849198334,0.15415739620465277,0.13757238303596495
Nr1h3,0.05789334721897817,0.050583486122022965,0.026448080721736104,0.03545617488660818
Elf5,0.05813455061392361,0.056196171508630245,0.02793530375006945,0.040865022916315795
Pax5,0.07015704520586806,0.06382048751164687,0.03006239938027777,0.03603267574777778
Ets1,0.08380422150207094,0.07559418137914886,0.1361496021410417,0.07594548161725143
Ezh2,0.23232724574654023,0.25035949517515044,0.18505800216187496,0.19194236043017537
Nr4a1,0.0492459480290501,0.052751529007363414,0.02632118014291666,0.034197007429122794
Nfia,0.06271816963189483,0.05210591822769596,0.037345538640694446,0.03276993637251461
