,1_Jun-Lung_Control,2_Jun-Lung_GSK,6_Oct-Lung_Placebo,4_Aug-Lung3_GSK
Ebf1,0.085952472,0.079497971,0.05947075,0.068577943
Ddit3,0.331430777,0.189025664,0.173314471,0.21835678
Sox4,0.21197872,0.161154258,0.169675946,0.172651939
Mafb,0.140975479,0.14309096,0.117921977,0.133334281
Nfib,0.085821348,0.070713163,0.064916839,0.094377644
Hes1,0.113175961,0.083882048,0.099744156,0.108395186
Bhlhe41,0.127662561,0.112895467,0.091220308,0.129565797
Tcf7l2,0.101891011,0.082265373,0.085483176,0.112072542
Irf8,0.074104232,0.089086369,0.067893602,0.075083298
Nkx2-1,0.094195921,0.075118866,0.100202205,0.096113987
Atf3,0.090700199,0.080153501,0.06467709,0.077281342
Cebpa,0.106186346,0.086316233,0.066080819,0.061872999
Mef2c,0.233086394,0.145585401,0.148133688,0.164368396
Ikzf2,0.222225338,0.149878833,0.138612552,0.184836476
Nr1d1,0.078714425,0.069087476,0.068766666,0.068917162
Maf,0.155075331,0.118030227,0.109175971,0.126322263
Gata6,0.090558329,0.083375131,0.067254363,0.086676378
Egr1,0.16103404,0.101804036,0.128865371,0.141759071
Klf4,0.079194721,0.070885856,0.055643558,0.073097791
Egr2,0.087019839,0.063862285,0.075705867,0.089031985
Ehf,0.144947088,0.131428319,0.096891008,0.134170979
Ahr,0.123949522,0.099503886,0.103831906,0.118863
Sox2,0.068541825,0.064932293,0.062119368,0.072044681
Bcl11b,0.089290102,0.070640598,0.058083306,0.066167801
Ar,0.070212602,0.070935168,0.086665161,0.077219914
Irf7,0.141696144,0.101149163,0.122473512,0.167904657
Pparg,0.076679302,0.082113496,0.069007429,0.062578842
Dnmt1,0.354318369,0.198068099,0.205587836,0.265532114
Nr2f2,0.371874574,0.277433473,0.199295628,0.235388828
Fosb,0.184382412,0.135406144,0.114402118,0.142842415
Lef1,0.30510302,0.252775025,0.203980702,0.242630297
Tcf7,0.088029125,0.087813527,0.084732868,0.091523705
Pbx1,0.07538397,0.062284814,0.062087119,0.072744145
Ikzf3,0.208637201,0.148150627,0.110105484,0.152598729
Nr1h3,0.084949424,0.066649215,0.090363399,0.089057432
Elf5,0.075662022,0.107961988,0.105157955,0.095035154
Pax5,0.113354222,0.080909375,0.065727708,0.093619241
Ets1,0.094935976,0.078419924,0.087591814,0.085783341
Ezh2,0.271430704,0.274834107,0.160881863,0.184470833
Nr4a1,0.073110619,0.06932546,0.066832441,0.086039552
Nfia,0.064418759,0.060646379,0.072394672,0.069581214
