source,target,ligand.complex,receptor.complex,aggregate_rank,mean_rank,natmi.edge_specificity,natmi.rank,connectome.weight_sc,connectome.rank,logfc.logfc_comb,logfc.rank,sca.LRscore,sca.rank,cellphonedb.pvalue,cellphonedb.rank
T cells 2,Neu-3,Ccl5,Ccrl2,2.6728162792503486e-10,1215.9,0.24555693829923378,45,6.314177310180193,26,5.3195931260765335,1,0.9665836321397482,45,0,5962.5
T cells 2,B cells,Ccl5,Dpp4,5.607966786678066e-9,1413.3,0.4283811639072965,12,10.271394218282722,2,4.3253200227330595,7,0.9362690753547184,1083,0,5962.5
T cells 2,T cells,Ccl5,Cxcr3,1.3289751348682594e-8,1427.1,0.35757467522611863,16,6.862086297454342,16,4.281645617770168,9,0.935599408174224,1132,0,5962.5
T cells 2,Neu-5 IFN,Ccl5,Ccrl2,1.348322524565657e-8,1244.3,0.17708352285660406,103,6.038133205072649,31,4.398869992940242,5,0.9608819783277787,120,0,5962.5
T cells 2,Neu-2,Ccl5,Ccr1,4.483126799721435e-8,1235.7,0.145533755094279,178,6.361524185521748,24,4.82797894257034,2,0.9714009152164683,12,0,5962.5
T cells 2,Neu-4 classic,Ccl5,Ccr1,7.117321249396395e-8,1261.3,0.1219832517068213,286,6.177755431793436,28,4.313996944845754,8,0.9688441702610735,22,0,5962.5
T cells 2,Lung Ep.,Ccl5,Sdc1,7.906973091811629e-8,1305.7,0.2838978821559193,29,6.147689767812552,29,4.6532631555761625,3,0.948182143421389,505,0,5962.5
B cells,B cells,Fcer2a,Cr2,8.07865526769468e-8,3439.7,0.9859660880173736,1,10.496942479706403,1,1.8539585221616384,1052,0.832230019114345,10182,0,5962.5
Macs 1,B cells,Fn1,Cd79a,8.752937412127461e-8,1446.9,0.3729154843229565,14,8.870536608736296,4,3.714965669089004,30,0.9342151399548861,1224,0,5962.5
Dendritic,T cells 2,H2-Ab1,Lag3,2.073518476974195e-7,1255.1,0.2524365663332618,40,7.149306101084974,13,4.199407171389577,11,0.9551097847245578,249,0,5962.5
Dendritic,T cells 2,H2-Aa,Lag3,2.7591867461004515e-7,1279.3,0.24573760155029437,44,7.248494135504583,10,3.859799351628302,23,0.9518522897373833,357,0,5962.5
Eryth.,T cells 2,Snca,Lag3,2.9514429147319547e-7,1453.1,0.6784589017861102,2,6.717128031260373,18,3.541224498121422,45,0.9339009225197277,1238,0,5962.5
B cells,T cells 2,H2-Aa,Lag3,3.362311758066953e-7,1287.9,0.24091383703579364,47,7.188500407985895,12,3.4989553775593327,47,0.9513959655383368,371,0,5962.5
T cells 2,Neu-5 IFN,Ccl5,Ccr1,4.047396498907428e-7,1297.9,0.09863042322661558,436,5.995529170416622,35,4.371215957058933,6,0.9654721300009873,50,0,5962.5
T cells 2,Neu-1,Ccl5,Ccr1,5.684240779820463e-7,1304.5,0.09590130640127338,460,5.974233387922258,40,4.58695295490981,4,0.9650013608000751,56,0,5962.5
T cells 2,T cells 2,Ccl5,Dpp4,6.646388648253826e-7,1750.1,0.2169033460300239,59,7.909617470703627,6,3.9774624513208097,19,0.9126916693696415,2704,0,5962.5
B cells,T cells 2,H2-Ab1,Lag3,8.884078237783934e-7,1298.7,0.2091098202374852,65,6.634237072242772,20,3.497461813686079,48,0.9508956278871661,398,0,5962.5
T cells 2,T cells 2,Ccl5,Cxcr3,1.0624650015627992e-6,1716.3,0.19802135331718385,69,6.238277775168543,27,4.059443730978516,14,0.915334386051615,2509,0,5962.5
T cells 2,T cells 2,Lck,Cd8a_Cd8b1,2.019014394292007e-6,1384.9,0.48378082742619455,5,10.189568191865849,3,2.848119512110185,180,0.9417537948853378,774,0,5962.5
T cells 2,T cells 2,Ccl5,Ccr5,2.5976838527579856e-6,1473.1,0.1814516631892293,93,6.974483450259405,15,4.126578456798104,13,0.9331826361011819,1282,0,5962.5
Prol.,B cells,Fn1,Cd79a,2.7685715587272998e-6,1574.3,0.28219932257914443,30,8.405941380386812,5,3.162660678901234,95,0.9251138566759686,1779,0,5962.5
Dendritic,Macs 2,C1qb,Lrp1,2.904457962771682e-6,1430.7,0.09570440652592345,461,3.2384821142930935,412,3.4255027290259368,55,0.954703419932233,263,0,5962.5
Dendritic,Macs 1,C1qb,Lrp1,3.643827026906255e-6,1444.9,0.09262256759926582,488,3.194819091240414,422,3.358638508197707,66,0.9539903958120507,286,0,5962.5
