,,,RAW,,,,,,,,Normalized,,
,1_Jun-Lung_Control,2_Jun-Lung_GSK,3_Aug-Lung2_PD1,4_Aug-Lung3_GSK,5_Aug-Lung4_Combo,6_Oct-Lung_Placebo,,1_Jun-Lung_Control,2_Jun-Lung_GSK,3_Aug-Lung2_PD1,4_Aug-Lung3_GSK,5_Aug-Lung4_Combo,6_Oct-Lung_Placebo
B cells,0.000972508,0.003558597,0.001518767,0.000196737,0.002523519,0.000408836,,0.049382715,0.331260242,0.136717858,0.084790479,0.121687375,0.112008022
Dendritic,0.00029141,0.001447638,0.001805178,7.43E-05,0.001798331,0.000474808,,0.014797424,0.134756683,0.162500277,0.032041223,0.086717853,0.1300823
Eryth.,0.011917773,0.002571206,0.003865955,0.001144184,0.003669975,0.00086239,,0.605169107,0.239346651,0.348009257,0.493124841,0.176970965,0.236267281
Lung Ep.,0.001065645,0.002751519,0.000964471,0.001208951,0.00272449,0.002559219,,0.054112058,0.256131459,0.086820699,0.521038418,0.131378456,0.70114452
Macs 1,0.000162596,0.000877754,0.000138283,1.65E-05,0.000653844,0.000401474,,0.008256426,0.08170778,0.012448094,0.007107016,0.031529192,0.109990989
Macs 2,0.00033582,0.000656161,6.18E-05,1.88E-05,9.10E-05,0.000334158,,0.017052512,0.061080233,0.005560293,0.008097907,0.004386144,0.091548509
Macs 3,0.001256686,0.001643755,0.000685344,0.000186977,0.001401557,0.000586988,,0.063812867,0.153012756,0.061693949,0.080584197,0.067584876,0.160815926
Neu-1,0.000944414,0.000994506,0.001459338,0.000542324,0.001815409,0.000552362,,0.047956129,0.092575889,0.131368093,0.233732845,0.087541392,0.15132958
Neu-2,0.000461647,0.000241413,0.000610119,0.00021828,0.000422483,0.000226652,,0.023441837,0.022472503,0.054922259,0.094074961,0.020372668,0.062095331
Neu-3,0.000838082,0.00049799,0.000763632,0.00017747,0.000949824,0.000240707,,0.042556743,0.046356523,0.068741409,0.076486892,0.045801746,0.065946037
Neu-4 classic,0.000198366,2.99E-05,0.001485501,0.000159754,0.000484301,0.000278015,,0.010072778,0.002787678,0.133723236,0.068851457,0.023353631,0.076167223
Neu-5 IFN,0.000116071,0.000310794,0.000520541,0.000755883,0.000708312,8.71E-05,,0.005893951,0.028930941,0.046858584,0.325773528,0.034155701,0.023860923
Prol.,0.019693294,0.010742603,0.01110877,0.002320272,0.020737725,0.003650059,,1,1,1,1,1,1
T cells,0.002464027,0.004595782,0.002152847,0.000910655,0.004566463,0.001398835,,0.125120087,0.427809029,0.193797037,0.392477713,0.22020076,0.383236203
T cells 2,0.002494097,0.003097502,0.000150907,0.000265851,0.002243709,0.002031716,,0.12664701,0.288338177,0.013584495,0.114577308,0.108194537,0.556625431
Tumor,0.005818637,0.002883881,0.00027161,0.000173238,0.000855918,0.000165676,,0.295462892,0.268452715,0.024450071,0.074662911,0.041273454,0.045389968
