,Control,Treatment,Fold Change,Log2 Fold Change
Cebpa(+),0.0006661642391740022,0.01453244879064275,21.815113955474384,4.447256104818524
Maf(+),0.0007948151974581637,0.002938501477610455,3.6970876840400724,1.8863892604117252
Atf5(+),0.01074909381488934,0.03183945596808548,2.9620595481251053,1.5666006443138738
Nr1d1(+),0.01804179498388733,0.047466397142617536,2.6309132314721775,1.3955636686524062
Hes1(+),0.0007376304352460152,0.0012349673055843256,1.674235832164976,0.7435027596273039
Mef2c(+),0.005205812503271442,0.007966761471296695,1.5303588952330143,0.6138700291626534
Bcl11b(+),0.0008958550382763809,0.0013443349808520252,1.5006166437803563,0.5855554647962458
Mafb(+),0.007992791261389541,0.011927346529741817,1.4922629829404872,0.5775018055333204
Tcf4(+),0.0027479393960687785,0.003668246598334055,1.3349081146337778,0.4167404406960534
Sox2(+),0.0013077662246402425,0.0014897763773720517,1.1391763675360853,0.1879911227019382
Irf8(+),0.010606125043056571,0.011678509918965949,1.1011099597219465,0.1389585473984362
Irf7(+),0.0508899200717741,0.05513449880847178,1.0834070623555945,0.11557540038180666
Bhlhe41(+),0.012665452025036859,0.01368931306776613,1.080838886816303,0.11215148651920183
Lef1(+),0.0006612422143573096,0.0007057546572421156,1.0673163961984333,0.09398791333438289
Pbx1(+),0.0018596264182148328,0.0018900969492670384,1.0163852969358524,0.023447410579507694
Ets1(+),0.001523687402074292,0.00154133587220544,1.0115827367917607,0.01661432195025725
Tcf7(+),0.0007868458827371904,0.000795657582037369,1.011198761401058,0.016066601497861578
Ddit3(+),0.0486143427636676,0.04523661251287798,0.9305198824303761,-0.10389111818998177
Jdp2(+),0.054705539266085276,0.04592375433872472,0.8394717418898596,-0.25244633258570687
Ezh2(+),0.0003780166300804371,0.0002975438509737425,0.7871184156909418,-0.345347400858726
Nr2f2(+),0.0006963918967127031,0.000531113390217429,0.7626645179596915,-0.39087951320266534
Dbp(+),0.03122845107255843,0.021653477620260403,0.6933894213949054,-0.5282622684670774
Tcf7l2(+),0.007947118914036879,0.005250811115811998,0.6607188306365428,-0.5978916324503305
Tfec(+),0.008872286775241038,0.005150645543227266,0.5805319049876333,-0.7845527376973389
Nr1h3(+),0.004456423312182518,0.0024533123639754284,0.5505115183445011,-0.8611553452945458
Pparg(+),0.004010503183902215,0.0018640044198206507,0.4647806857011335,-1.105377977139225
Pax5(+),0.0007972784493854666,0.0003128190696514436,0.3923586168578382,-1.3497552103189867
Nfib(+),0.001045978454923734,0.0004088828813090102,0.39090946795727577,-1.3550935672834628
Gata6(+),0.0003636088971678335,0.00013813624121874335,0.37990335851155715,-1.396295628774001
Nfix(+),0.0020365703844104546,0.0007030825020743008,0.3452286782996841,-1.5343757800744113
Atf3(+),0.06007804495320711,0.01660533537287882,0.2763960675786336,-1.8551910049396354
Klf4(+),0.044211186973348866,0.012056290454504353,0.27269773285598636,-1.8746253888073499
Egr1(+),0.12019138607421305,0.027440122668753245,0.22830357120443007,-2.1309746680070734
Ebf1(+),0.0009633853289748687,0.00021781717905243106,0.22609559487916298,-2.1449952111919792
Nfia(+),0.0031452194563220525,0.0004982862976099253,0.15842655958659554,-2.658113877072043
Fosb(+),0.0815018602325153,0.0014976131845182996,0.018375202483057244,-5.766096042155353
