TF,target,importance
Ebf1,Cd79a,36.26568319928657
Mef2c,Cd74,29.006129225826378
Ebf1,Cd74,28.492405451646675
Ebf1,Igkc,26.253043566055513
Ets1,mt-Nd1,20.86303357255493
Ebf1,Ighd,19.004549729820706
Anxa1,Rpl3,18.92165029004466
Ebf1,H2-Ab1,18.783831038046596
Bcl11b,Trbc2,18.4558870778777
Mef2c,H2-Aa,18.076934585030745
Nr1h3,Nkx2-1,17.849490727668655
Mef2c,Igkc,17.50098441096772
Spats2,Myo1b,17.36507429840548
Mef2c,Cd79a,17.320587954122114
Pax5,Cd74,16.827109457455585
Nme1,Crip1,16.589337501172388
Ets1,Lyz2,16.15510531502198
Tcf7,Trbc2,15.82958220841788
Anxa1,mt-Nd1,15.636322632588016
Pax5,Ebf1,15.612909850071395
Ets1,Rpl3,15.0681158789223
Ebf1,H2-Aa,15.009970721457867
Anxa1,Clic5,14.503138582513753
Tcf7,Cd3e,14.422687995164843
Nme1,Rpl3,14.230387208846523
Elf5,Krt23,14.124545632359567
Anxa1,Lyz2,14.048149316964425
Ebf1,Ighm,13.942448780381326
Bcl11b,Cd3g,13.894530665341938
Ebf1,Cd79b,13.670637518934317
Mef2c,H2-Ab1,13.646882372204912
Anxa1,Gm4316,13.384501199330662
Lmo2,Trim10,13.089159388486484
Ebf1,Iglc2,13.029372201631526
Sox2,Itih2,13.006665581522007
Dnmt3a,2610528A11Rik,12.886716039834086
Anxa1,Rab27a,12.847736681627902
Ets1,Sirpa,12.693180426564666
Mef2c,Ebf1,12.58476538482121
Nme1,Cyp2b10,12.580516708794189
Anxa1,Sirpa,12.51177882683455
Dnmt3a,Pla2g1b,12.467598650716152
Nr1h3,Slc34a2,12.292670732632244
Ets1,Gimap6,12.27020035843976
Cebpa,Lyz2,12.178853708690681
Pou2af1,Igkc,12.133760765709114
Elf5,2310007B03Rik,12.070475871606366
Ebf1,Ly6d,12.025881066678338
Anxa1,Ftl1,11.838135212177647
Mafb,Lyz2,11.79333810751752
Tcf4,Cadm1,11.755974252601149
Mef2c,Napsa,11.640793474634217
Nkx2-1,Sox2,11.472403396685536
Mecom,Rai14,11.469362112550982
Ets1,Cd3e,11.384888522556214
Irf8,Cd74,11.258979645250085
Ckmt1,Sult2b1,11.10647048164909
Tcf7,Il7r,11.101130297832514
Gadd45a,Crip1,11.095289613506251
Ebf1,Gm31243,11.085355262597758
Anxa1,Crip1,11.047338564486115
Mef2c,Ly6d,10.99607891382626
Ebf1,Ms4a1,10.989266928176217
Pax5,Cd79a,10.929638181285947
Bcl11b,Mllt3,10.803387417711864
Nfib,Irx3,10.722548751761554
Tcf7,Bcl11b,10.527726499205624
Anxa1,Gimap6,10.385363829782788
Nr4a1,Srd5a1,10.342747404780052
Bcl11b,Cd3e,10.327860521814792
Nme1,Kif20a,10.258637112862267
Sox2,Them5,10.25833845160405
Anxa1,Cxcl2,10.233082472566393
Anxa1,Ngp,10.210592043201736
Tcf7,Cd3g,10.129417211692175
Pax5,Cd79b,10.075820289090476
Ebf1,Iglc3,10.044991162332595
Nr2f2,Pmp22,10.009791686274156
Nr2f2,Sdc2,9.98735254619999
Nr2f2,Ramp2,9.966187120117324
Cebpa,Cidea,9.875313690760024
Sox2,Scgb3a1,9.853693322886405
Anxa1,S100a7a,9.816343815753457
Gata6,Fgfbp1,9.815774879138296
Jdp2,Elf5,9.8105393707012
Tcf4,Mycl,9.806039900518321
Anxa1,F630028O10Rik,9.803136616410743
Lef1,Dusp10,9.799936245484236
Pax5,Ighd,9.742704824275453
Nme1,Atp5g1,9.72552797179615
Anxa1,Glrx,9.71763293969973
Sox2,Gpx2,9.71001020897992
Pou2f2,Cd74,9.676363801767218
Nr2f2,Fmo2,9.596489206917019
Anxa1,Csf2rb,9.573855228084458
Gadd45a,Cxcl2,9.560947326409826
Acaa1b,Il18,9.535614358047836
Nr2f2,Nid1,9.529000561671646
Tcf7,Cd3d,9.497637161302576
Pax5,Igkc,9.490779398404982
Bcl11b,Skap1,9.43102753793589
Foxm1,Esco2,9.428055584386977
Hspa5,Alas2,9.352273752036483
Anxa1,Tgfbi,9.348726748924959
Anxa1,Stfa2l1,9.299219512197762
Anxa1,Wfdc17,9.27728965454256
Anxa1,Lcn2,9.277057057331008
Mafb,Ifitm3,9.265391530133737
Ets1,Trbc2,9.192082884907762
Ets1,Ptprcap,9.172871853296275
Bcl11b,Lat,9.155867386875904
Pax5,Ighm,9.126750141447383
Gadd45a,Rpl3,9.124302981634091
Tcf7,Cd28,9.096972451017331
Anxa1,Lrg1,9.066703706808578
Pax5,Ms4a1,9.063782432191536
Pou2af1,Cd79b,9.048461155491928
Spats2,Oit1,9.024982742043253
Spats2,Steap2,9.023633207283392
Irf7,Tenm4,9.020826225809834
Tcf7,Skap1,9.004830444071766
Anxa1,Hacd4,8.992284077938924
Ebf1,Tnfrsf13c,8.990672081696554
Gata6,Plxna4,8.96825094893357
Lmo2,Cd74,8.955348885405117
Ets1,Cd69,8.95328919685221
Lef1,Foxq1,8.901956729993127
Anxa1,G0s2,8.889607927049834
Cebpa,Slc16a11,8.858184062173052
Pbx1,Gabrp,8.85246316319746
Foxm1,Ccna2,8.830229061897601
Sox2,Tff2,8.809020843762811
Mafb,Gm1673,8.770319174593984
Bhlhe41,Speg,8.769103528921121
Sox4,Nectin2,8.759651371223079
Ets1,Gimap4,8.721859330466502
Elf5,Cldn10,8.713527591151152
Foxm1,Cenpf,8.656396833146045
Pou2af1,Cd79a,8.640420421795353
Tcf7l2,Lrr1,8.632589949207297
Foxm1,Mki67,8.586922469430506
Mecom,Irx3,8.582554678714565
Bcl11b,Cd28,8.566461505448165
Lef1,Trbc2,8.563223864819328
Pou2af1,Ebf1,8.481729862253081
Lef1,Dapl1,8.462111042693277
Ets1,Cd3g,8.442863892792838
Lef1,Itga6,8.4375742133594
Acaa1b,Bcl2a1a,8.416364729891585
Irf7,Gm20234,8.398575771793123
Nr2f2,S100a16,8.383411799447137
Bcl11b,Cd3d,8.346693410769099
Ets1,Ftl1,8.341312656678937
Elf5,Ager,8.330501612995981
Nfib,Mgp,8.326513841212085
Nr2f2,Timp3,8.309576651781365
Anxa1,Pi16,8.297885027070064
Anxa1,Hist1h1c,8.293970520938023
Nr2f2,Mxra8,8.287958410110365
Ets1,Bcl11b,8.28695841586535
Hmgn3,Edn1,8.248240811167609
Anxa1,Camp,8.246103500727099
Foxm1,Nuf2,8.24482101960286
Dbp,Ptprf,8.21283909231868
Anxa1,Kif23,8.21166009650526
Anxa1,Gimap1,8.195504865463036
Sox2,Wfdc3,8.174428745925743
Mef2c,Ighd,8.16799529141088
Nr2f2,Fbln1,8.127936006507715
Ets1,Ifi203,8.099387779937045
Mafb,Hpse,8.071074336622877
