,Ahr(+),Atf3(+),Atf5(+),Bcl11b(+),Bhlhe41(+),Cebpa(+),Dbp(+),Ddit3(+),Ebf1(+),Egr1(+),Egr2(+),Ehf(+),Elf5(+),Ets1(+),Ezh2(+),Fosb(+),Foxq1(+),Gata6(+),H1fx(+),Hes1(+),Irf7(+),Irf8(+),Jdp2(+),Klf4(+),Lef1(+),Maf(+),Mafb(+),Mecom(+),Mef2c(+),Mycl(+),Nfia(+),Nfib(+),Nfix(+),Nkx2-1(+),Nr1h3(+),Nr2f2(+),Nr4a1(+),Pax5(+),Pbx1(+),Pparg(+),Sox2(+),Sox4(+),Tcf4(+),Tcf7(+),Tcf7l2(+),Tfec(+)
Ahr(+),1.0,0.0228013029315961,0.0,0.0,0.0023041474654378336,0.020231213872832332,0.0,0.0,0.007462686567164201,0.0,0.0,0.0,0.0,0.0,0.0,0.02604166666666663,0.0,0.013698630136986356,0.0,0.0,0.02212389380530977,0.010330578512396715,0.0,0.04878048780487809,0.0,0.049180327868852514,0.026666666666666616,0.0117647058823529,0.023809523809523836,0.0,0.007575757575757569,0.014354066985645897,0.007352941176470562,0.0,0.0,0.0,0.0,0.007692307692307665,0.016528925619834656,0.0,0.0,0.010309278350515427,0.014563106796116498,0.0,0.012269938650306789,0.007662835249042099
Atf3(+),0.0228013029315961,1.0,0.003225806451612856,0.0,0.12577639751552794,0.3257731958762886,0.003058103975535187,0.30625,0.03658536585365857,0.09375,0.003058103975535187,0.03142857142857147,0.009740259740259716,0.0,0.014634146341463428,0.2782152230971129,0.0031347962382445305,0.04784688995215314,0.025139664804469275,0.012903225806451646,0.2769607843137255,0.22870662460567825,0.1941176470588235,0.10846560846560849,0.0029325513196480912,0.052896725440806036,0.19543973941368076,0.0547945205479452,0.07122507122507127,0.0032679738562091387,0.029197080291970767,0.04583333333333328,0.062189054726368154,0.009090909090909038,0.016393442622950838,0.029680365296803624,0.00990099009900991,0.04207920792079212,0.08970976253298157,0.12989690721649483,0.011869436201780381,0.01305483028720622,0.10154525386313462,0.0030674846625766694,0.18401206636500755,0.15091678420310295
Atf5(+),0.0,0.003225806451612856,1.0,0.0,0.002320185614849146,0.005747126436781658,0.0,0.0,0.007633587786259555,0.017857142857142905,0.02941176470588236,0.014925373134328401,0.05882352941176472,0.0,0.0,0.0,0.0,0.028368794326241176,0.013698630136986356,0.050000000000000044,0.0,0.0,0.008928571428571397,0.008000000000000007,0.0,0.008064516129032251,0.013698630136986356,0.005952380952380931,0.0,0.0,0.031746031746031744,0.014563106796116498,0.007518796992481258,0.0,0.012820512820512775,0.01935483870967747,0.0,0.0,0.016949152542372836,0.0,0.021276595744680882,0.021505376344086002,0.0,0.0,0.008196721311475419,0.0038387715930902067
Bcl11b(+),0.0,0.0,0.0,1.0,0.002336448598130869,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07462686567164178,0.0,0.010582010582010581,0.09090909090909094,0.0,0.0,0.0,0.004464285714285698,0.0020746887966804906,0.0,0.008196721311475419,0.09523809523809523,0.03389830508474578,0.0,0.0,0.0,0.0,0.0,0.0,0.007692307692307665,0.0,0.0,0.0,0.0,0.008064516129032251,0.0,0.0,0.0,0.01098901098901095,0.0,0.1923076923076923,0.002049180327868827,0.0019267822736031004
Bhlhe41(+),0.0023041474654378336,0.12577639751552794,0.002320185614849146,0.002336448598130869,1.0,0.33333333333333337,0.011261261261261257,0.038535645472061675,0.08548707753479123,0.004264392324093813,0.04418604651162794,0.025531914893617058,0.002320185614849146,0.02515723270440251,0.1049382716049383,0.023569023569023573,0.002272727272727315,0.07293666026871404,0.03609341825902335,0.011627906976744207,0.05766062602965405,0.3846153846153846,0.013461538461538414,0.06719367588932801,0.008714596949891074,0.03256704980842917,0.025210084033613467,0.07564575645756455,0.07112068965517238,0.0023419203747072626,0.06666666666666665,0.07228915662650603,0.11836734693877549,0.008888888888888835,0.06479481641468687,0.040000000000000036,0.0,0.10838445807770958,0.051181102362204745,0.38796680497925307,0.008733624454148492,0.030364372469635637,0.1355311355311355,0.0022371364653244186,0.3853211009174312,0.5590682196339434
Cebpa(+),0.020231213872832332,0.3257731958762886,0.005747126436781658,0.0,0.33333333333333337,1.0,0.0,0.08551068883610446,0.03803131991051456,0.023684210526315752,0.02228412256267409,0.012658227848101222,0.002865329512893977,0.004938271604938316,0.041189931350114395,0.10041841004184104,0.0,0.07191011235955058,0.0330788804071247,0.011461318051575908,0.21212121212121215,0.3610648918469218,0.03488372093023251,0.11435523114355228,0.0,0.04816513761467889,0.15340909090909094,0.07741935483870965,0.07512953367875652,0.005813953488372103,0.04288939051918739,0.05870841487279843,0.10952380952380958,0.008130081300813052,0.05927835051546393,0.03375527426160341,0.00877192982456143,0.040723981900452455,0.06352941176470583,0.29580573951434874,0.007957559681697646,0.021531100478468845,0.11850311850311845,0.002739726027397249,0.36423841059602646,0.3857374392220422
Dbp(+),0.0,0.003058103975535187,0.0,0.0,0.011261261261261257,0.0,1.0,0.0,0.03472222222222221,0.0,0.0,0.04938271604938271,0.0,0.0,0.0,0.014423076923076872,0.0,0.031847133757961776,0.022471910112359605,0.027027027027026973,0.004098360655737654,0.008016032064128265,0.015625,0.02877697841726623,0.03125,0.02898550724637683,0.0,0.03910614525139666,0.010101010101010055,0.033333333333333326,0.027972027972028024,0.051162790697674376,0.020270270270270285,0.017857142857142905,0.032258064516129004,0.02941176470588236,0.0,0.013986013986013957,0.04580152671755722,0.0036900369003689537,0.031746031746031744,0.04672897196261683,0.04205607476635509,0.020000000000000018,0.009920634920634885,0.005586592178770999
Ddit3(+),0.0,0.30625,0.0,0.0,0.038535645472061675,0.08551068883610446,0.0,1.0,0.025751072961373356,0.2148148148148148,0.014285714285714235,0.011560693641618491,0.008064516129032251,0.0,0.0,0.31441048034934493,0.0,0.02857142857142858,0.005555555555555536,0.0,0.08414239482200647,0.034904013961605584,0.41025641025641024,0.03555555555555556,0.006451612903225823,0.008695652173912993,0.04022988505747127,0.01845018450184499,0.027027027027026973,0.0,0.004237288135593209,0.01935483870967747,0.004166666666666652,0.01379310344827589,0.016393442622950838,0.0076045627376425395,0.02564102564102566,0.030701754385964897,0.11274509803921573,0.05232558139534882,0.0,0.00497512437810943,0.022875816993464082,0.0,0.04903677758318736,0.04132231404958675
Ebf1(+),0.007462686567164201,0.03658536585365857,0.007633587786259555,0.0,0.08548707753479123,0.03803131991051456,0.03472222222222221,0.025751072961373356,1.0,0.017857142857142905,0.006756756756756799,0.040000000000000036,0.0,0.07386363636363635,0.03493449781659386,0.013157894736842146,0.0,0.12608695652173918,0.1393939393939394,0.046511627906976716,0.030120481927710885,0.14722753346080308,0.013392857142857095,0.07623318385650224,0.012422360248447228,0.07657657657657657,0.010752688172043001,0.16942148760330578,0.34931506849315064,0.007874015748031482,0.10909090909090913,0.14539007092198586,0.06437768240343344,0.0,0.037634408602150504,0.10569105691056913,0.007936507936507908,0.40697674418604646,0.09859154929577463,0.027855153203342642,0.0,0.060913705583756306,0.2549019607843137,0.006802721088435382,0.0802139037433155,0.03409090909090906
Egr1(+),0.0,0.09375,0.017857142857142905,0.0,0.004264392324093813,0.023684210526315752,0.0,0.2148148148148148,0.017857142857142905,1.0,0.013698630136986356,0.009433962264150941,0.017857142857142905,0.008849557522123908,0.006211180124223614,0.1421568627450981,0.0,0.06976744186046513,0.03669724770642202,0.0,0.04296875,0.011560693641618491,0.16923076923076918,0.044303797468354444,0.0,0.04458598726114649,0.008928571428571397,0.045226130653266305,0.01666666666666672,0.0,0.024242424242424288,0.05084745762711862,0.029761904761904767,0.012820512820512775,0.02608695652173909,0.0478723404255319,0.019607843137254943,0.012121212121212088,0.11188811188811187,0.0034129692832765013,0.011627906976744207,0.046875,0.03375527426160341,0.0,0.02115384615384619,0.0035714285714285587
