,0
Tfec(+),514
Tcf7l2(+),483
Irf8(+),477
Bhlhe41(+),423
Cebpa(+),341
Atf3(+),302
Pparg(+),246
Irf7(+),219
Nfib(+),200
Tcf4(+),197
Fosb(+),185
Mecom(+),160
Nr2f2(+),149
Gata6(+),136
Nfix(+),125
Ebf1(+),123
Nfia(+),121
Pax5(+),119
Klf4(+),117
Ddit3(+),116
Maf(+),116
Ezh2(+),114
Pbx1(+),111
Jdp2(+),104
Sox4(+),86
Mef2c(+),74
Nr1h3(+),70
Ets1(+),66
Mafb(+),65
H1fx(+),65
Ehf(+),59
Egr1(+),48
Lef1(+),40
Sox2(+),39
Nkx2-1(+),31
Egr2(+),26
Dbp(+),26
Tcf7(+),25
Foxq1(+),18
Hes1(+),12
Ahr(+),12
Elf5(+),9
Atf5(+),9
Bcl11b(+),6
Mycl(+),5
Nr4a1(+),4
