,Ahr(+),Atf3(+),Atf5(+),Bcl11b(+),Bhlhe41(+),Cebpa(+),Dbp(+),Ddit3(+),Ebf1(+),Egr1(+),Egr2(+),Ehf(+),Elf5(+),Ets1(+),Ezh2(+),Fosb(+),Foxq1(+),Gata6(+),H1fx(+),Hes1(+),Irf7(+),Irf8(+),Jdp2(+),Klf4(+),Lef1(+),Maf(+),Mafb(+),Mecom(+),Mef2c(+),Mycl(+),Nfia(+),Nfib(+),Nfix(+),Nkx2-1(+),Nr1h3(+),Nr2f2(+),Nr4a1(+),Pax5(+),Pbx1(+),Pparg(+),Sox2(+),Sox4(+),Tcf4(+),Tcf7(+),Tcf7l2(+),Tfec(+)
T cells,0.2618932084233544,0.26626413304141283,0.17090542654937102,0.5658701014417074,0.2981314242137193,0.26359395914066774,0.2207350776863649,0.2526124886466482,0.20908324297278258,0.33003021098648033,0.21144519535511985,0.2085570572830452,0.16915839723409798,0.5476376693273306,0.3476310316944391,0.37235859344197486,0.5333775626536614,0.32570377239777937,0.23325806672206129,0.17386242238099547,0.35637726049572704,0.27774869041823447,0.21635282197624983,0.37825571040141504,0.63386650817158,0.5518619262893318,0.24005168680615196,0.29632111989772436,0.21517581153265686,0.2138501791750136,0.294998263488339,0.2821267209586502,0.2862147444386276,0.17921617299413062,0.22569383269966492,0.2755261952753293,0.1975562206877821,0.2359253049833312,0.3136278742086347,0.2578813748693133,0.20963512062646494,0.29029874513119436,0.21811467514838268,0.6113855714072285,0.2662792960288054,0.2959541143726363
Neu-2,0.1777449934418628,0.4470820764875161,0.1725607298068783,0.1726639243571847,0.2822108154023135,0.34191257246948314,0.1797952677388115,0.542730728753442,0.18572429477521613,0.41695386891007213,0.32707946874645044,0.21576439082817334,0.20459040590539446,0.18926169862003328,0.19800940040130166,0.4109375827230698,0.1713597503724974,0.24739789468083762,0.2122321166209813,0.17748906160838407,0.2945205927760235,0.21693751572938313,0.5791018677223256,0.2899521146887213,0.18301002509902675,0.18326366373957192,0.3399954084776914,0.24097723266537763,0.194681600528266,0.17234055679148386,0.21433826981628268,0.24683724310965116,0.2913988766950598,0.18911121450947943,0.2497837226258256,0.27484831827841627,0.27109838319364266,0.18842509004303465,0.3393868282072823,0.34585005187167395,0.19726009397625743,0.1875021168085097,0.2054842437786586,0.17554238513664433,0.3354423007023283,0.31995016548477595
B cells,0.22270919132270084,0.25162163161030904,0.1674453888423022,0.19331773040897793,0.36653777585184677,0.27298491074090325,0.19276157214454193,0.23676475468267377,0.6711701666657488,0.263463981165429,0.19221780161029922,0.19966530322565845,0.16821360034387223,0.34113366340818996,0.2461093135953205,0.2630073467492908,0.1849804587476852,0.26277584011502175,0.2744784932787455,0.6112855910431862,0.25004030799742283,0.4968884218754931,0.20697575022914427,0.30926827965043946,0.2630567486681734,0.19950933622170774,0.22612206381159594,0.2340654001900786,0.6008964107810087,0.18999598815938357,0.21789063502316308,0.22610857696098463,0.25843792668678256,0.17699704362006352,0.2227817979328931,0.1953678049973966,0.23316818984440735,0.6599159425284236,0.20426684134217432,0.24522961850758696,0.17925577204489096,0.20624601719641178,0.6090860582426045,0.22569353526140923,0.28883977532520067,0.2800621243465561
T cells 2,0.19859400963205542,0.21729852311519215,0.1674453888423022,0.2765500476521413,0.23815849439600179,0.23025759907320353,0.2051490576160251,0.21239906035185874,0.18821257881747844,0.28718943066208247,0.18888568344269185,0.1846907796270688,0.1674453888423022,0.3491360852038926,0.2871499283918856,0.2714020387222982,0.2124768163764893,0.20815690227162997,0.20114931128255975,0.20143313130501683,0.3623325300840622,0.25924923174803427,0.19198345616247225,0.27124600355583495,0.3226682877553839,0.3080830095506437,0.20611632037864536,0.1981574372504591,0.19360428461046542,0.21339946182724256,0.19518239371021773,0.1924046918042548,0.2135939209327633,0.17062707786792686,0.1946921895779462,0.18888024031499429,0.1809903972088368,0.19678943121004844,0.200141087872444,0.22910927536844583,0.1793459732626741,0.24961792214219647,0.19781324251484156,0.29132028326545834,0.22849017635674373,0.2425307288229025
Prol.,0.17041638695634886,0.17894822545309585,0.1674453888423023,0.17587734167878843,0.20236291256190087,0.1937302603988066,0.167606547069435,0.17258491549545552,0.1880732247211454,0.17092276547099738,0.17297436804393107,0.16906472311416376,0.16883878031408517,0.18026007887132955,0.28727936560492306,0.17370493005087895,0.1714857190297694,0.17596721178161912,0.21094163602336258,0.1883259265826306,0.18096519200628647,0.19332234483229505,0.17312988904405402,0.1807927757250768,0.1771723712760659,0.1773925233696183,0.18858837911585347,0.17331551364892384,0.1917560797692509,0.1677242674205891,0.1749382237178554,0.1734901280091803,0.1887779372432029,0.17080341360899987,0.18215990903586543,0.16986123723506652,0.16831782952443897,0.1879603150191792,0.1767362098416958,0.1970280450207279,0.1707153974481177,0.18501008061824575,0.19058549610595132,0.17362930425749568,0.19314082060488158,0.19892578828468543
Dendritic,0.2502573246137333,0.27179265076671355,0.1674453888423022,0.17212543783692646,0.23609081495359774,0.2898767851147308,0.17414630018924693,0.19855731692840206,0.24274558573788196,0.20689975811816053,0.17574521507915875,0.18179449330824538,0.19303586961607933,0.18089685458659954,0.17928230966853287,0.20485325833192602,0.17117739573241586,0.19257545755650018,0.1738432002058704,0.27590381694702426,0.26912253991207025,0.26941218712240855,0.1957003063058601,0.28314468827682926,0.17757261344761288,0.2217095610952441,0.33894786279140476,0.18402817414226658,0.26997489678447817,0.201385042806568,0.18359988009538797,0.18713676032461934,0.24565309801872548,0.17829231102673893,0.1994061618462578,0.1836800386680273,0.29653666703078496,0.23728594732052244,0.18321540656633695,0.276834058025326,0.18184512377039075,0.1767235872728259,0.25892985766607024,0.17329918546053258,0.29654542789470206,0.2467739149681305
Macs 1,0.4671691309338143,0.27238482804728414,0.1674453888423022,0.1674453888423022,0.20857178335051552,0.2829970924259885,0.16968791814381334,0.19958848946128294,0.19898604530850883,0.19717502721672553,0.17274816509447533,0.16915416181597365,0.1674453888423022,0.1787357127067032,0.1743696932172305,0.20260526375309718,0.16783048751865182,0.17880504085481375,0.17055651532140526,0.2082141333772447,0.2797223960743146,0.2414776354703002,0.20369551133756902,0.2566423239588962,0.16906944923223166,0.2465252369757409,0.3316603763125682,0.18910835301390294,0.21895753317386468,0.16927393837677807,0.175201744216132,0.18570776440654668,0.25892999297409613,0.1674453888423022,0.18443781720220898,0.1751685769382879,0.18716404589945124,0.1992837656308254,0.20543311889134264,0.24501721045508162,0.16851055294403328,0.1734123631324067,0.21739626244979682,0.17065667302790255,0.25629233265651163,0.2250359956610406
Macs 2,0.18338607018833641,0.2155199986459635,0.17433938089922862,0.1827527712613537,0.28797687700662167,0.28441172222676525,0.1674453888423023,0.1841264267647028,0.22222726501414092,0.17350990063313754,0.19412940921157296,0.167584436023269,0.1684662188054209,0.1730039652833063,0.17980004100357916,0.1795010613189587,0.1674453888423023,0.1802281787671478,0.17101174604346125,0.2328383122040525,0.18287622802997172,0.24100062637249287,0.19179791886701336,0.20324143496784675,0.16902601308310516,0.17303162932957594,0.26529372201226387,0.17918045491448853,0.24132472807300476,0.1674453888423022,0.19138295830794627,0.1706199419827621,0.26522875768124066,0.16884128188745906,0.26469405165177073,0.1780055982007842,0.1674453888423023,0.21707724044573917,0.19206705898414445,0.3166766793723004,0.16873445254461894,0.1815792647687149,0.22720459910160873,0.173333201522621,0.28760206423585244,0.31344311004788494
Neu-1,0.17164006443548896,0.23206769784501435,0.17869264958363829,0.1710373698381169,0.20082128989291848,0.2097938376966103,0.18423034484280443,0.25275080571273423,0.17418318485959539,0.24939961437334612,0.2509865828749429,0.18718365610032184,0.1758284072511327,0.17917798987348765,0.18113811989011797,0.24839940539059135,0.16883292731349853,0.2082426619690776,0.18226530354478332,0.17234892301144789,0.2037414331812415,0.1847210495069216,0.24605220609709466,0.2110860648517915,0.17474409127782586,0.17708393181038062,0.20077546653951972,0.18969207102298047,0.17825179694650206,0.18860663109715448,0.184436613318679,0.19779632359710064,0.2038996875445963,0.18250909577615282,0.19329774511567566,0.20015328908320584,0.24450895644770287,0.17502918199902506,0.21618932312718964,0.21116286318216104,0.17966790604756755,0.17825237666246663,0.1808672917495363,0.1719231305140554,0.20985387777973108,0.20852141968815618
Lung Ep.,0.18181099408976698,0.18768226531066057,0.27115741705555985,0.17149354835704111,0.19546123080171796,0.18957819138551624,0.3416177019082912,0.17964575007849604,0.17460234789566387,0.1751252688850038,0.1959874818363848,0.34488124453644975,0.3931737298797142,0.1747881940819186,0.18356196883873055,0.18079122263446068,0.25244564621560395,0.39680120065304725,0.21795325979384939,0.17098179499406363,0.18659201955481453,0.1804250694673386,0.19363135267364417,0.1944176838951368,0.17422064009816518,0.1903438367529443,0.1940317064043069,0.4382684498284318,0.1749259796583117,0.23672219175173903,0.42892000872294733,0.45418501654714216,0.25772473762340453,0.38304542611768766,0.32827637335524873,0.42314647939128114,0.1759697224215908,0.17502764564918616,0.353047883043089,0.18858197611700211,0.35827987549115436,0.4118839406762633,0.18157554639426698,0.17332046769526177,0.19156028824511329,0.1912167966364463
