TF,target,importance
Irf7,S100a10,30.90305007511526
Irf7,Krt19,24.473226187457204
Arg1,Tubb2b,20.79015761263552
Arg1,Krt19,19.42712439995711
Arg1,S100a7a,17.511827024945795
Arg1,S100a10,15.775883021222244
Hspa5,Hsp90b1,15.355358341014108
Arg1,S100a16,14.486209654142018
Fhl2,Scara3,14.359957413645702
Nfia,Slc34a2,13.826166638057265
Ebf1,Bank1,13.145589669721717
Jdp2,Krt19,12.454580833336099
Irf7,Laptm5,12.033730734447042
Irf7,Ftl1,11.859062328325756
Arg1,Cd81,11.521022959098563
Ebf1,Mzb1,11.319901706462426
Irf7,Cd81,11.31524243601556
Dnmt1,Phldb2,11.30499103469041
Sox4,Chst1,11.300393145394507
Jdp2,S100a10,11.245805807850697
Irf8,Fabp5,11.133675817163093
Irf7,S100a16,11.009239372055315
Irf7,Wwtr1,10.961825738878062
Hes1,Tmeff2,10.90313296376225
Ahr,Gzma,10.87993081405927
Arg1,Ftl1,10.865523977671467
Ikzf3,Gimap3,10.8598118175165
Irf7,Plet1,10.829849099001205
Ckmt1,Krt19,10.789640063323958
Edn1,Prtn3,10.757133834237951
Hes1,Kif4,10.693015795150314
Ebf1,Iglc3,10.654548448689262
Hspa5,Ddit3,10.626921997556325
Ahr,Klrk1,10.575713763070143
Egr1,Id1,10.566569428152093
Irf7,Prss27,10.465370571537827
Hspa5,Manf,10.458909381063382
Ckmt1,C2,10.44220061201948
Mxd3,Pimreg,10.40855322216735
Ebf1,Igkc,10.404516422165425
Irf7,Cd63,10.34751740751774
Sox4,Lurap1l,10.26985160357517
Ebf1,Iglc2,10.252129478934263
Odc1,Ighg1,10.245788810022026
Irf7,Krt18,10.13792803570896
Zeb2,Atp6v1c1,10.122904681840964
Irf7,Isg15,10.042715530296237
Acaa1b,Nlrp10,9.98429681388611
Sox2,Foxm1,9.930060987503424
Anxa1,S100a10,9.890953830955388
Arg1,Plet1,9.823143083178111
Arg1,Faim2,9.771947918880407
Ebf1,Cd79b,9.721350307207402
Id2,Neil3,9.651812699645475
Irf8,Ctss,9.612243435715992
Tcf7l2,Slc16a9,9.59820679658751
Irf7,Krt23,9.464886084853376
Nr4a2,Ptprg,9.45991813764947
Lmo2,Asgr2,9.457541966965612
Bhlhe41,Fgfr1,9.353370372931266
Irf7,S100a7a,9.295293288414527
Lef1,Klrb1c,9.238181103063663
Nme1,Rps2,9.233915462664793
Fhl2,Ociad2,9.222632265181565
Ebf1,Pax5,9.169873325005527
Anxa1,Krt19,9.14628618579576
Ikzf3,Trdc,9.13977223879719
Ebf1,Fcer2a,9.10147347153246
Ckmt1,Plxna4,8.99058228137251
Yod1,S100a10,8.92602881328556
Egr1,Slfn4,8.923329848758991
Tagln2,Dbi,8.861161444676387
Ebf1,Ighm,8.857588593932368
Mafb,C3ar1,8.854129853315827
Nr1d1,Itih2,8.810155982345544
Zeb2,Ccnf,8.805013451333275
Nfib,Hist1h3c,8.801757277373015
Ikzf3,Tcrg-C1,8.763087274854211
Ebf1,Cd79a,8.705556080996704
H2afz,Hist1h1b,8.677536952683491
Jdp2,Krt23,8.66839811699917
Bcl11b,Sh2d1a,8.625688579543624
Ebf1,Vpreb3,8.590431805314726
Irf7,Cd300c2,8.527947779402846
Hspa5,Derl3,8.507997245391707
Mxd3,Spc25,8.43947719026764
Arg1,Krt23,8.438182096065153
Gadd45a,Retnlg,8.426025282801909
Hspa5,Calr,8.416598833101132
Arg1,Nccrp1,8.388318869193427
Ikzf3,Bcl11b,8.385877266592598
Ehf,Nectin1,8.385861971102816
Nr1d1,Dbp,8.35241309552143
Hmgn3,Efemp1,8.344164574062075
Arg1,Lypd2,8.316961117022618
Ebf1,Ms4a1,8.30269208608136
H1fx,Cdkn3,8.286341654492146
H2afz,Slc4a1,8.27641939188477
Ikzf3,Il2ra,8.26761770439805
Odc1,Itih2,8.266250394136692
Lef1,4930523C07Rik,8.236099343882376
Irf7,Apol7a,8.229435631909405
Bcl11b,Trbc1,8.226906621314036
Ebf1,Ighd,8.214826207520828
Mxd3,Cenpf,8.214434525969866
Mafb,Aif1,8.208014990578777
Dab2,Lyz2,8.1542782236824
Bhlhe41,Lyz2,8.12273900715694
Yod1,Krt19,8.116836087165394
Irf8,Myof,8.06718501116911
Irf8,Spp1,8.061887531824759
Bcl11b,Cd3g,8.050046433822185
Pou2af1,Iglc1,8.028483851462887
Arg1,Fxyd3,8.012695430482415
Egr1,Gm5483,8.003782569011747
Ikzf3,Cd2,7.983331170940192
Ikzf3,Blk,7.982717294537446
Irf7,Tubb4b,7.980160216745968
Arg1,Cd63,7.9745982448686545
Nr1h3,Camp,7.971123313713284
Hes1,Dlc1,7.925295234685833
Irf7,Spns3,7.905673074881696
Zeb2,Cd68,7.897472955462998
Pbx1,Ankrd1,7.854921866823792
Tcf4,Tmem80,7.8405161730416335
Tcf7l2,Aldh3a1,7.8349994340617615
Mef2c,Gm43936,7.830598139577229
Pax5,Ighd,7.802863730796743
Egr1,Acod1,7.785170317394817
Irf8,H2-Ab1,7.774185457250653
Zeb2,Gas2l3,7.727341865341514
Irf7,Errfi1,7.72337620523134
Mafb,Stab1,7.705991580821975
Irf7,Cops6,7.694959182357643
Tagln2,Adamtsl5,7.667344641856378
Mxd3,Racgap1,7.638719085620127
Arg1,Ly6d,7.612278177943827
Hmgn3,Antxr1,7.609509866893442
Odc1,Cavin2,7.6029326140295
Zeb2,Gm13571,7.598476955222891
Bcl11b,Ikzf3,7.571581869010063
Odc1,Dppa3,7.546245418329389
Irf7,Mad2l1bp,7.544000033469309
Foxm1,Cdca8,7.537778415821586
Ikzf3,Ccl5,7.5195046456758945
Tcf4,Fermt2,7.519364404825506
Ahr,Fcgbp,7.51031879790816
Ikzf3,Cd3e,7.501523433252046
Irf7,Krt80,7.487825198360093
Arg1,Clu,7.469504115871574
Arg1,Wwtr1,7.462967435119224
Arg1,Vsig10l,7.462110936076098
Lef1,Tcf7,7.445151518622465
Arg1,Plac8,7.442856444208648
Irf8,Rpn1,7.44091251148633
