,Atf3(+),Atf5(+),Bcl11b(+),Bhlhe41(+),Cebpa(+),Ckmt1(+),Dbp(+),Ddit3(+),Ebf1(+),Egr1(+),Elf5(+),Ets1(+),Ezh2(+),Fosb(+),Foxq1(+),Gata6(+),Hes1(+),Hivep3(+),Id1(+),Ikzf2(+),Irf7(+),Irf8(+),Jdp2(+),Klf4(+),Lef1(+),Lmo2(+),Maf(+),Mafb(+),Mecom(+),Mef2c(+),Mxd3(+),Nfia(+),Nfib(+),Nfix(+),Nkx2-1(+),Nr1d1(+),Nr1h3(+),Nr2f2(+),Pax5(+),Pbx1(+),Pparg(+),Sox2(+),Tcf4(+),Tcf7(+),Tcf7l2(+),Tfec(+),Yod1(+)
B cells,0.009480453879256443,0.0,0.0,0.017506361364880645,0.025612829827141442,0.0,0.0013730994504205856,0.0029352152370707854,0.06641236550876936,0.006772999549372454,0.006160527253473587,0.004912598313297735,0.00019673698471992,0.0023954621058256283,0.0005711670464180796,0.0,0.0,0.0005683617753998285,0.015890233319866786,0.0023432270191294856,0.0055087102313883,0.022952448820162768,0.005392964958376815,0.001644915966769557,0.010400117672649258,0.02917577194295667,0.012564290314219599,0.022306836015289242,0.003410314321079157,0.025570442736589486,0.0,0.0,0.0,0.0,0.0015743674990974287,0.002583288666628014,0.0013152112576729142,0.00010313145644611429,0.08172891572739371,0.0002852978406556143,0.0018282719023356411,0.0,0.009639287897757585,0.004909804026242572,0.009150306872527842,0.012245887866549243,0.0088617804228583
Dendritic,0.019744042243781266,0.010918949855793222,0.0003483522882689226,0.02786638672989378,0.026385631117844373,0.0,0.0007360945451478194,0.004243169137551174,0.0011923998144435905,0.0020017227208206563,0.0,0.00027119645629139087,7.434435644082615e-05,0.0015142334322089048,0.0005159846505663643,0.0,6.634315190469677e-05,0.008686185435043436,0.00023166073214637742,0.0008069107397468711,0.0019279538176231322,0.03537698593052701,0.0021226845293577747,0.0008986644948202226,9.45965518347381e-05,0.08630124844297145,0.03212205313690041,0.04689341919681848,0.0,0.03537245282303554,0.0,0.0,0.0,0.004998114413678594,0.0,0.000324068470723942,0.002637058201180636,0.0009716927791337261,0.006091121834903836,0.0004917029879860742,0.0011966438765509742,0.0,0.019864495840711774,0.0,0.0103118574906525,0.017820256927238688,0.0009799831583549193
Eryth.,0.006337349424393622,0.005208266032112738,0.0009320632819912214,0.0094883555480598,0.004644442490464662,0.002447615538977012,0.0037121161457425523,0.010358299386763001,0.00012779622581705598,0.0064152822689909775,0.021020835149930913,0.0001402828920865807,0.0011441838237762126,0.0006006594856094969,0.0019024028612845874,0.0,0.0004195090914299503,0.00347291245399885,0.002967712836143766,0.010171591794355141,0.01205129499197043,0.010075988659281361,0.010852236676869553,0.001771495826672523,0.0006748346253801861,0.00511696000665124,0.0010274488421525723,0.00719048312197329,0.0005938876374113674,0.00572234241414689,0.0,0.00023564153753244274,0.00040084529634274466,0.00020965812300523397,0.002429766552099505,0.005562300679348575,0.0017842339178913052,0.0002164904055976175,0.00021227799447411964,0.001226779914235781,0.0021915634743876772,0.009663712436118072,0.007601135133161362,0.000179375123925339,0.00418598648471618,0.004857199777364402,0.02546466214258113
Lung Ep.,0.006421156165795992,0.009329347889477344,0.0004891336034947911,0.009287891341234348,0.010693884591883373,0.02990606761630094,0.015596732259192992,0.029339673058743503,0.0009414527866501857,0.005616468891538634,0.08483144411804365,0.0005749827086995365,0.0012089509181624238,0.001692810243038795,0.015441724739559832,0.0029284165880784562,0.006198116366076083,0.001570971280088687,0.0022860174898288142,0.00481929643838075,0.04772585039388383,0.011045460329503353,0.04113561606288905,0.006509148817436977,0.00045183031992191976,0.002314909872159934,0.0006541672328347648,0.0048448223333265915,0.006841090418566829,0.007187129147881062,0.0,0.0017728971232522034,0.0018238413984459879,0.002898135452127653,0.008033234485202252,0.015513196351607346,0.0018605519289680605,0.0023715599241734154,0.0006390563076002522,0.006307312747704934,0.002017001602797162,0.005359422305412882,0.0026514977016186747,0.0002659234755173121,0.0036158866915473667,0.0021631630453145066,0.09140271699480206
Macs 1,0.0294755257045202,0.004033614048018946,0.0,0.037811313011166886,0.02284007925273227,0.0,0.0004483865428164099,0.004133591781469163,0.0,0.0010412715507070174,0.0,4.03502184021103e-05,1.649021149630126e-05,9.043095818579499e-05,3.850396827426332e-05,0.0,0.0,0.0005013051197469717,2.3712442865926415e-05,0.00012771984132842735,0.003513200872072272,0.03960366092002311,0.003330976008368492,0.0002838361232050849,8.461901009569811e-06,0.0646270463233014,0.01691109383701377,0.04689060657692554,0.0,0.03238843496875338,0.0,0.0,0.0,0.0012731976394807084,0.0,0.0008719276212308377,0.0033598248806283393,7.410494056015025e-06,0.00020741135877549736,2.2159514629946597e-05,0.001439998764359317,0.0,0.01213452122402012,0.0,0.009059243604259887,0.01812940651002883,0.00031336726192621883
Macs 2,0.027671961130164697,0.0,0.0,0.04042144052287468,0.017886863633937954,0.0,0.00044689698323938033,0.0031489004100523515,0.0,0.0025376877345616466,0.0010810806180872586,1.6823934371094177e-05,1.878934735907403e-05,1.287016326430091e-05,9.28256519951732e-05,0.0,0.0,0.00033719820405764603,8.186114566621395e-05,0.0001238259437269512,0.0016901550330403986,0.035827737100416285,0.0016928737327754867,0.00045744085433649335,0.0,0.03741594978921473,0.0027829116637650996,0.03794940994277994,0.0,0.0262409606153542,0.0,0.0005048953905878146,0.0,0.003012537414705711,0.0,0.00010501173441577249,0.004644968049501349,4.081456778818716e-06,0.0002753902423902769,7.988132608224682e-05,0.007792008336224306,0.0,0.006296796374374031,0.0,0.014519196324297406,0.018209298299561562,0.001666691357504362
Macs 3,0.025884772123266953,0.0005772793602284013,0.0003239676280901,0.038350452587152264,0.020260444891726605,0.0007533586244762281,0.0016282736583800004,0.005484954958827269,0.0,0.0016985379628055694,0.008158192017479497,0.0002490936516923911,0.00018697726585013377,0.00012534322547803426,0.0006343338343345649,0.0,5.380055338944334e-05,0.0008922337256461507,0.0013452053394896553,0.0010261763158350228,0.006816784083890291,0.03656880602274643,0.005895452113184493,0.001543970602080682,9.372471209485206e-05,0.04064152604251389,0.003678818595514121,0.03789145359309684,0.0,0.027439297937025386,0.0,0.0014090667006370673,0.0,0.0010479036729188654,0.000376492001479718,0.004506439102595894,0.007055001885152607,5.436625382750687e-05,0.0003089478323190615,0.00028080926257886856,0.006497137913892965,0.00019140175977378198,0.008563529874674675,0.000206098541430104,0.010641339359009024,0.015979212674154218,0.008850524233047876
Neu-1,0.022563628668312043,0.022025761136363068,0.0006646005550018312,0.018031144573249263,0.007910627624220325,0.0011874102794833348,0.008271033853802092,0.013434296690441367,0.00023444011174569173,0.06629582749476583,0.019432830206649924,0.0013305797839599886,0.0005423238056677339,0.0024520564763840414,0.0025715507153901375,0.0,0.00030191130783286475,0.0004334303331950099,0.08023916067726274,0.007418016292206034,0.008854256708223327,0.01628947961512451,0.008422836787150018,0.0024399604795139673,0.0008399592461579097,0.007718046184873721,0.005032388293601275,0.014685120925484406,0.002795204989573342,0.010785158122791627,0.00016523450906188528,0.0010477171412120849,0.0005692353343252175,0.0013569697424380277,0.0018820403298714984,0.01797511593860373,0.0043846015567378825,0.00017206637381034852,0.0002071050686861433,0.0022045367500982804,0.0027510596699225685,0.0005022621180195663,0.007632179553123004,0.0008573281055534458,0.008616353314520724,0.00777780183473366,0.01771959490289236
Neu-2,0.023959325112631418,0.01359832984101129,0.0006259664214875744,0.010646483298606138,0.0058347286792579025,0.0007020757363793087,0.0034621065254730474,0.009504751710018947,5.176086015810724e-05,0.1507970881781525,0.015240643974676187,0.0011653896859138966,0.00021827950933578578,0.0036041689044970095,0.001986047719095285,0.00026820240490654107,0.0,0.0012222927360656056,0.16202714922938652,0.002511991716833877,0.006303435949396207,0.0095379106246053,0.006841495676397817,0.0014106147031197377,0.0005606963801831844,0.008627209029700733,0.003969484061282454,0.009574906580304072,0.0002702238790068831,0.005982879591753158,0.0,0.0007630272646664151,0.0,0.00047748965982441304,0.0003991783406066449,0.00825725830808593,0.0020428738736816407,0.00011973796081604502,4.948130654111822e-05,0.0008137091203938734,0.002512670470447226,0.00018931417330581886,0.004059634481272056,0.0004347741232605169,0.004148907300735111,0.004240506739735008,0.010615192186747599
Neu-3,0.04366133280746427,0.02274326361515539,0.00025624451684494025,0.02205100049469371,0.0072768163443854865,0.0007991738989041032,0.010472433775723303,0.02173775855498886,0.00014858488180524108,0.05303864978031358,0.022715878992572318,0.0005816607029983701,0.0001774704042446975,0.0008773055764943013,0.0015994640703815824,0.00016494653685472706,7.280737259408056e-05,0.0007155045980097351,0.06856286542869533,0.002132966958024285,0.008605134186454812,0.015425697498015641,0.009410499194872243,0.001800097874911954,0.000756780134312617,0.00599702757925695,0.001989551468583225,0.015308282352176428,0.0009255335045866319,0.009334665224393374,0.0,0.0012684595867997373,2.0560180570753906e-05,0.00034603719755706835,0.001116119189390767,0.045658083682629455,0.004283393625666418,8.988973821287313e-05,0.00011864303022152981,0.0008220281538530943,0.0018439801887881041,0.0007621952745308258,0.0038786258507920294,0.0004990153109445391,0.009262646112660693,0.007094336277156965,0.014719274334665307
