,Atf3(+),Atf5(+),Bcl11b(+),Bhlhe41(+),Cebpa(+),Ckmt1(+),Dbp(+),Ddit3(+),Ebf1(+),Egr1(+),Elf5(+),Ets1(+),Ezh2(+),Fosb(+),Foxq1(+),Gata6(+),Hes1(+),Hivep3(+),Id1(+),Ikzf2(+),Irf7(+),Irf8(+),Jdp2(+),Klf4(+),Lef1(+),Lmo2(+),Maf(+),Mafb(+),Mecom(+),Mef2c(+),Mxd3(+),Nfia(+),Nfib(+),Nfix(+),Nkx2-1(+),Nr1d1(+),Nr1h3(+),Nr2f2(+),Pax5(+),Pbx1(+),Pparg(+),Sox2(+),Tcf4(+),Tcf7(+),Tcf7l2(+),Tfec(+),Yod1(+)
Atf3(+),1.0,0.0,0.0021008403361344463,0.5818181818181818,0.23928571428571432,0.0,0.005671077504725952,0.019230769230769273,0.009980039920159722,0.08958333333333335,0.002105263157894721,0.009451795841209809,0.046040515653775316,0.094188376753507,0.038590604026845665,0.0,0.0,0.02558635394456288,0.01521739130434785,0.004081632653061273,0.015759312320916874,0.5161290322580645,0.019073569482288777,0.0,0.01008064516129037,0.0390455531453362,0.049180327868852514,0.41208791208791207,0.0,0.457685664939551,0.0,0.014767932489451518,0.002123142250530785,0.01882845188284521,0.0,0.0021551724137931494,0.1643564356435644,0.007874015748031482,0.030737704918032738,0.042671614100185495,0.1640926640926641,0.0040322580645161255,0.125,0.0041753653444676075,0.46240000000000003,0.39852398523985244,0.0
Atf5(+),0.0,1.0,0.0,0.0,0.004149377593360981,0.0,0.012658227848101222,0.01098901098901095,0.0,0.0,0.0,0.0,0.008695652173912993,0.0,0.012121212121212088,0.0,0.045454545454545414,0.0,0.0,0.0,0.007843137254901933,0.0015923566878981443,0.006802721088435382,0.0,0.02083333333333337,0.0,0.0,0.0031446540880503138,0.0,0.002557544757033292,0.0,0.0,0.0,0.02941176470588236,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.022222222222222254,0.0,0.0,0.004347826086956497,0.003278688524590123,0.03703703703703709
Bcl11b(+),0.0021008403361344463,0.0,1.0,0.0019193857965451588,0.0,0.0,0.0,0.0050000000000000044,0.02898550724637683,0.0,0.0,0.13793103448275867,0.007575757575757569,0.01834862385321101,0.022222222222222254,0.0,0.0,0.0,0.0,0.017857142857142905,0.00366300366300365,0.009375000000000022,0.0032051282051281937,0.011904761904761862,0.19999999999999996,0.0,0.0547945205479452,0.0,0.0,0.007389162561576401,0.0,0.0,0.0,0.0,0.017857142857142905,0.0,0.006578947368421018,0.0,0.0461538461538461,0.007936507936507908,0.005988023952095856,0.050000000000000044,0.016528925619834656,0.21052631578947367,0.0020920502092049986,0.0031055900621117516,0.022727272727272707
Bhlhe41(+),0.5818181818181818,0.0,0.0019193857965451588,1.0,0.2785467128027682,0.0,0.003478260869565264,0.014903129657228065,0.014732965009208066,0.06168224299065417,0.0,0.015789473684210575,0.079225352112676,0.11090225563909772,0.04402515723270439,0.0,0.0,0.025341130604288553,0.005893909626719096,0.015122873345935761,0.016172506738544423,0.641399416909621,0.02720207253886009,0.018018018018018056,0.011111111111111072,0.03968253968253965,0.04307116104868913,0.46499102333931774,0.0,0.5514834205933683,0.005964214711729587,0.03952569169960474,0.0019379844961240345,0.03300970873786413,0.005617977528089901,0.0019646365422396617,0.1943396226415094,0.023897058823529438,0.02621722846441943,0.05381944444444442,0.2272727272727273,0.013059701492537323,0.125,0.0019047619047618536,0.6172006745362564,0.45999999999999996,0.001908396946564861
Cebpa(+),0.23928571428571432,0.004149377593360981,0.0,0.2785467128027682,1.0,0.016597510373444035,0.07534246575342463,0.14520547945205475,0.010526315789473717,0.05536332179930792,0.03200000000000003,0.01935483870967747,0.04790419161676651,0.10067114093959728,0.09863013698630141,0.0,0.015810276679841917,0.02734375,0.0,0.03396226415094339,0.1607565011820331,0.24172661870503598,0.1648351648351648,0.05964912280701751,0.010714285714285676,0.027559055118110187,0.03886925795053009,0.4179487179487179,0.0039215686274509665,0.29338842975206614,0.0,0.047808764940239,0.007936507936507908,0.026717557251908386,0.03396226415094339,0.008163265306122436,0.09792284866468848,0.04255319148936165,0.021505376344086002,0.09554140127388533,0.14583333333333337,0.021897810218978075,0.11842105263157898,0.0,0.2960893854748603,0.24711316397228633,0.027450980392156876
Ckmt1(+),0.0,0.0,0.0,0.0,0.016597510373444035,1.0,0.03749999999999998,0.021857923497267784,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.019607843137254943,0.0031746031746031633,0.017006802721088454,0.0,0.0,0.0,0.0,0.006249999999999978,0.0,0.0025380710659898,0.0,0.0,0.0,0.0,0.04878048780487809,0.0,0.0,0.032786885245901676,0.0,0.008928571428571397,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Dbp(+),0.005671077504725952,0.012658227848101222,0.0,0.003478260869565264,0.07534246575342463,0.03749999999999998,1.0,0.3128205128205128,0.008000000000000007,0.0,0.0786516853932584,0.0,0.010752688172043001,0.0060606060606061,0.12735849056603776,0.012345679012345734,0.09195402298850575,0.010000000000000009,0.0,0.018181818181818188,0.24621212121212122,0.0028612303290415086,0.21052631578947367,0.0852713178294574,0.0,0.0,0.0,0.012953367875647714,0.010752688172043001,0.0043290043290042934,0.0,0.0,0.01098901098901095,0.0,0.05660377358490565,0.08974358974358976,0.0,0.03937007874015752,0.008196721311475419,0.09638554216867468,0.0045045045045044585,0.017241379310344862,0.005649717514124242,0.0,0.005649717514124242,0.008000000000000007,0.08695652173913049
Ddit3(+),0.019230769230769273,0.01098901098901095,0.0050000000000000044,0.014903129657228065,0.14520547945205475,0.021857923497267784,0.3128205128205128,1.0,0.004366812227074246,0.0,0.08108108108108103,0.0078125,0.01038062283737029,0.03053435114503822,0.17465753424657537,0.00540540540540535,0.031088082901554404,0.0,0.0,0.02857142857142858,0.513986013986014,0.017699115044247815,0.49367088607594933,0.10909090909090913,0.0,0.0,0.0,0.029106029106029108,0.01538461538461533,0.014285714285714235,0.0,0.0,0.010309278350515427,0.0,0.0536585365853659,0.04419889502762431,0.0,0.03056768558951961,0.004424778761061954,0.10424710424710426,0.0092592592592593,0.01834862385321101,0.003558718861209953,0.004901960784313708,0.02080000000000004,0.01473684210526316,0.0736842105263158
Ebf1(+),0.009980039920159722,0.0,0.02898550724637683,0.014732965009208066,0.010526315789473717,0.0,0.008000000000000007,0.004366812227074246,1.0,0.008620689655172376,0.0,0.10344827586206895,0.012499999999999956,0.021897810218978075,0.014285714285714235,0.018181818181818188,0.0,0.0,0.0,0.0,0.0033112582781457123,0.021180030257186067,0.00588235294117645,0.036363636363636376,0.0674157303370787,0.01388888888888884,0.029126213592232997,0.01671309192200554,0.0,0.03791469194312791,0.0,0.0273972602739726,0.0,0.09459459459459463,0.0,0.0,0.0055248618784530246,0.039215686274509776,0.22784810126582278,0.0331125827814569,0.01025641025641022,0.0,0.05555555555555558,0.05633802816901412,0.01195219123505975,0.017341040462427793,0.013698630136986356
Egr1(+),0.08958333333333335,0.0,0.0,0.06168224299065417,0.05536332179930792,0.0,0.0,0.0,0.008620689655172376,1.0,0.0,0.058394160583941646,0.017045454545454586,0.060810810810810856,0.0,0.0,0.0,0.045454545454545414,0.13043478260869568,0.01980198019801982,0.0031347962382445305,0.05167173252279633,0.0056022408963585235,0.015503875968992276,0.009009009009009028,0.0,0.05128205128205132,0.07909604519774016,0.0,0.06557377049180324,0.0,0.0,0.0,0.010309278350515427,0.0,0.0,0.05291005291005291,0.0,0.008849557522123908,0.0,0.028846153846153855,0.0,0.069620253164557,0.01098901098901095,0.06490872210953347,0.07894736842105265,0.0
