,0
Irf8(+),625
Bhlhe41(+),501
Tcf7l2(+),458
Atf3(+),456
Mef2c(+),388
Mafb(+),315
Tfec(+),302
Jdp2(+),292
Irf7(+),253
Cebpa(+),238
Ddit3(+),180
Foxq1(+),163
Pparg(+),147
Nr1h3(+),132
Ezh2(+),112
Pbx1(+),106
Tcf4(+),102
Fosb(+),90
Ets1(+),78
Dbp(+),76
Egr1(+),67
Klf4(+),64
Nr2f2(+),56
Maf(+),56
Ebf1(+),50
Pax5(+),47
Lef1(+),45
Sox2(+),42
Ikzf2(+),36
Nkx2-1(+),36
Nfix(+),31
Tcf7(+),25
Hivep3(+),25
Nfia(+),25
Yod1(+),24
Lmo2(+),23
Bcl11b(+),21
Elf5(+),20
Hes1(+),19
Mecom(+),18
Nfib(+),16
Id1(+),11
Nr1d1(+),9
Ckmt1(+),7
Gata6(+),6
Mxd3(+),5
Atf5(+),4
