,Atf3(+),Atf5(+),Bcl11b(+),Bhlhe41(+),Cebpa(+),Ckmt1(+),Dbp(+),Ddit3(+),Ebf1(+),Egr1(+),Elf5(+),Ets1(+),Ezh2(+),Fosb(+),Foxq1(+),Gata6(+),Hes1(+),Hivep3(+),Id1(+),Ikzf2(+),Irf7(+),Irf8(+),Jdp2(+),Klf4(+),Lef1(+),Lmo2(+),Maf(+),Mafb(+),Mecom(+),Mef2c(+),Mxd3(+),Nfia(+),Nfib(+),Nfix(+),Nkx2-1(+),Nr1d1(+),Nr1h3(+),Nr2f2(+),Pax5(+),Pbx1(+),Pparg(+),Sox2(+),Tcf4(+),Tcf7(+),Tcf7l2(+),Tfec(+),Yod1(+)
Tumor,0.3192475519579031,0.37240662087422394,0.1741528109075864,0.30427878994380164,0.5869810992450777,0.47124589195372046,0.708390942921372,0.7382291667113852,0.17622973653754603,0.20049397216027898,0.749304681047452,0.17503622623676574,0.2492287885140495,0.24739618152407095,0.4052326520611397,0.16999496809712034,0.26083873324425955,0.19420928112279567,0.20772598795139574,0.2983215713622094,0.7974727644952719,0.27243665284936014,0.7849884941480446,0.7203857531586917,0.1733315675258592,0.18099019184341225,0.2047144370951327,0.29346906658489547,0.2304537378854531,0.25480197913621405,0.1674453888423023,0.17118909571474272,0.2076280344941719,0.17025311388667286,0.464603134066777,0.6457163856992412,0.23582084983109064,0.40181303930706247,0.1765069528710319,0.4712909314642315,0.20748451181651428,0.29543414766932385,0.19725616030113413,0.17139691362380993,0.2932423459279192,0.22107561607488846,0.7493196854785662
Neu-1,0.3548675212170922,0.22215811588473544,0.18737652171955266,0.35226014666215866,0.25888143523439955,0.17523227963955146,0.22760777059200377,0.22113459712905625,0.2038746456203575,0.43457849519339165,0.20369907623241057,0.2486093056403863,0.30382367774253183,0.30148182554720926,0.25833714720912393,0.1674453888423022,0.18024541491630763,0.19556478506023944,0.3923484292620014,0.2971369692905699,0.20051274189512558,0.3604966979224409,0.20491373658400958,0.19917624762194364,0.21157867788128137,0.2580372356579026,0.3159690377897322,0.34122511690054147,0.22564613801226963,0.35334511609546926,0.17286525331881564,0.23394132039079385,0.19551580464229212,0.23437598117048997,0.2123843087678775,0.21855630582056507,0.37213329724143807,0.1934420899514776,0.20307899047713518,0.2831127907087688,0.33516049239952783,0.1907815385987296,0.4011034325593039,0.21886615734222525,0.3824573260410351,0.3664444330644977,0.2015695780354425
Neu-3,0.40301935713314563,0.21394410198764224,0.17484706339232148,0.3284119766794855,0.231198627424954,0.1716417699835009,0.22473615960244597,0.22792339453086785,0.19604606517643652,0.33730153428919396,0.20236975686578984,0.20172300531500498,0.20513869887529135,0.20683986886886063,0.21714898094874602,0.17254366878473248,0.17028257518682033,0.19904128782613917,0.3256751192190229,0.20410843861606254,0.19214478864711215,0.3062111710944495,0.19873557621937665,0.1856099633773688,0.19697632189219583,0.22753955364973621,0.21574469745976388,0.30294038822614466,0.18277553641189315,0.29286898371867587,0.1674453888423023,0.22916109442581234,0.16874856286293338,0.18234479058944075,0.18609415207203173,0.26061332651604496,0.3206711358119694,0.17669950367298848,0.18624043662787115,0.20912028633005464,0.259293204400591,0.1993693440137596,0.27384452992556185,0.19335526098686173,0.3371666354152414,0.3064208764293086,0.19114459333981348
Neu-2,0.24300419821510544,0.1847556931260389,0.17833908287957756,0.21364779498752862,0.19396837289451607,0.16961656762381805,0.17870095124150975,0.18237142702418319,0.17379828818828458,0.3735592479895322,0.1790435806567654,0.19605587817095538,0.18941226574535264,0.25010762410903575,0.19805214793782766,0.17315134679627042,0.1674453888423022,0.2127420376293525,0.3495370042642566,0.18847664268689268,0.17652962288729646,0.215775190758554,0.1790076137771146,0.17506985182418788,0.183385881208173,0.211235338193828,0.22046245071126136,0.21438455647356858,0.17093622542604003,0.21157468347338015,0.1674453888423023,0.19979621472116638,0.1674453888423023,0.18174971253789673,0.17172435749404336,0.1777207960698728,0.21037823137913636,0.175170833718302,0.1739634147281337,0.18872195349415022,0.23258547882653058,0.1710755258576273,0.22263805909351386,0.18269721208455048,0.21376415772313362,0.21376783320736636,0.1759961958634645
Macs 2,0.2770197187320409,0.1674453888423023,0.1674453888423023,0.3381992254766567,0.2536534955809454,0.1674453888423022,0.1695239700413571,0.17438484322359105,0.1674453888423023,0.1769164053924026,0.1683896427449002,0.1686744355427594,0.17284044536112153,0.1683645320702991,0.1705239716446756,0.1674453888423023,0.1674453888423022,0.17251001272837685,0.16770701940546562,0.16851131123674457,0.17107922133293263,0.3430625030148724,0.1718016630584882,0.17037050853483782,0.1674453888423023,0.3838723109910964,0.2063661159519109,0.3472292686631051,0.1674453888423023,0.35200880454202277,0.1674453888423023,0.18887460379239018,0.1674453888423023,0.3219445168311378,0.1674453888423023,0.1676510105753778,0.28521979631901273,0.1684140097800303,0.19881384705551985,0.17059440945843196,0.36645154282201187,0.1674453888423023,0.27576699233953417,0.1674453888423023,0.32670706216902556,0.3624296601154623,0.16915697323440926
Lung Ep.,0.18071612396101822,0.17378579632425695,0.17247642716213796,0.1886922836848839,0.18989305691060232,0.20500694884818138,0.18950151925786984,0.18769298873348494,0.20071727203643164,0.1734348143557689,0.1952941926636641,0.17612162884913662,0.22176992214392865,0.18459003673134944,0.2751535191863178,0.18294191669437887,0.23722274828126366,0.18435738272451763,0.16912103669161793,0.19481830267943245,0.193208731352146,0.1952382782251949,0.19385633843751926,0.18236943986006304,0.17761838482473113,0.17406210404228373,0.1723102141883498,0.18090162394274933,0.22835365663694807,0.1937708184565804,0.1674453888423023,0.20569569853414715,0.209194661796252,0.21370803979710684,0.2214085207092047,0.17650057135643304,0.1871510093239135,0.2354924789329551,0.19938975149501392,0.23415741263429068,0.19336810000484617,0.22647784268900362,0.18523184591653308,0.17263494889918507,0.18803943302045756,0.1808527441996276,0.1995517228768695
Macs 3,0.22997034061941335,0.16812498164159695,0.1704558795396841,0.2672721694024838,0.22457055861697905,0.16923313926599004,0.17149811960719108,0.17411639930920586,0.1674453888423023,0.17099500351229968,0.17166810391747533,0.1726850401732135,0.1903384414158964,0.1716210248058928,0.17658374327150494,0.1674453888423023,0.16857298287106914,0.18340756229776367,0.16955396076131835,0.17565442981209234,0.17431892041559605,0.2761923797651028,0.17477494207636035,0.17352624212019208,0.17015205423023805,0.3072087549399368,0.20067771017924707,0.2766656019099123,0.1674453888423023,0.28412335980300885,0.1674453888423023,0.2023112399640583,0.1674453888423023,0.19424110267222883,0.17042421857252055,0.17183019662034082,0.2636272749684838,0.1706903839197218,0.1933158875402825,0.17401512516142348,0.2746604157420254,0.1715350538537016,0.24909462716069342,0.17187862305187251,0.24418418529463126,0.2746116652559619,0.17231554415990757
Macs 1,0.22044288722062655,0.1704742603372601,0.1674453888423023,0.24287952336003393,0.21573932536874252,0.1674453888423022,0.16837646783434046,0.17145917181198866,0.1674453888423023,0.16911020166019475,0.1674453888423023,0.16866858120723938,0.16981543690187684,0.1693698535425976,0.16820106668449886,0.1674453888423023,0.1674453888423022,0.17455724239246895,0.16748200348780784,0.1682444138627287,0.17052535277973213,0.2560763843796554,0.17097498930599497,0.16840468485632287,0.16792307283081664,0.32047489964241904,0.279419476593457,0.26665167854778227,0.1674453888423023,0.2692887555703277,0.1674453888423023,0.1674453888423023,0.1674453888423023,0.19092560304142858,0.1674453888423023,0.1682156482223951,0.20877949219706982,0.1681663316769536,0.1820942792022192,0.16787158110324918,0.19343544025234283,0.1674453888423023,0.2524223074325621,0.1674453888423023,0.21935773239429057,0.2585604296260068,0.16765991457330431
T cells,0.17625683718260698,0.16909179786708384,0.457289754996261,0.181558168981658,0.17831632684494814,0.17022934947467105,0.17382670898123087,0.17339942842650657,0.21205315707905248,0.1739777582783244,0.17054869749347068,0.4564823682918674,0.19628941877190975,0.17784884429175096,0.17968131258817377,0.1674453888423023,0.17664165108168695,0.1806693133783135,0.17172538986212216,0.1812861007088129,0.17479105897230962,0.18343481750521062,0.17361973187791513,0.18053862673355925,0.4148937677934983,0.18554370187618718,0.25243733297638293,0.17900546278221274,0.17310944389324123,0.18547138058808632,0.1674453888423023,0.1679261644262855,0.18754392826352762,0.19901889621536561,0.17725498855581523,0.1767906437907748,0.181235174514504,0.19094813045040615,0.23973519929293974,0.18161942141205278,0.18728758439004434,0.18418270654035185,0.19057250273006177,0.45628757827394484,0.18291448249289988,0.1794790372853442,0.17120511718724274
Dendritic,0.1814299418006926,0.17044695121588804,0.1695117814571735,0.18940740232776254,0.18741889017028057,0.1674453888423023,0.16799104403216725,0.1688753226804912,0.19678112329779807,0.16859218964851708,0.1674453888423023,0.1695974542055667,0.1707876157796503,0.17660815123155693,0.1698782246502878,0.1674453888423023,0.1680418415748105,0.21265669826143663,0.16756126266464388,0.16916934764034808,0.16807357761275377,0.19796205258069333,0.16825496522887173,0.16846621261038464,0.16898050275754906,0.2421437988786529,0.24663419771500728,0.2049435836152289,0.1674453888423023,0.20897145742894507,0.1674453888423023,0.1674453888423023,0.1674453888423023,0.2073052163174085,0.1674453888423023,0.1675564313424931,0.1795896609305333,0.17976144103733527,0.287249905003756,0.17040075755257944,0.17531680534899352,0.1674453888423023,0.21478621456143665,0.1674453888423023,0.18878599676808128,0.2013211389604569,0.1676633224672811
