TF,target,importance
Anxa1,Slpi,39.159697157762714
Nme1,Ptma,34.62515198597967
Nme1,Crip1,33.16681309961037
Gadd45a,Retnlg,32.5055559024628
Gadd45a,Wfdc21,31.840869430687317
Gadd45a,Lrg1,30.412314493540972
Anxa1,Chil1,29.480405878387256
Anxa1,Wfdc21,29.352735561166504
Anxa1,Cxcl2,28.5973958624923
Anxa1,Retnlg,28.500739527439233
Nme1,Rpl3,26.714561782692094
Nme1,Rps2,26.64193083283791
Anxa1,Lrg1,24.80323851031059
Egr1,Cxcl2,24.487430578300476
Gadd45a,Cxcl2,23.626483405003977
Nme1,mt-Nd1,21.04539944077287
Pou2f2,Plac8,20.301276950855595
Gadd45a,Slpi,19.863804826444774
Mafb,S100a4,19.38202649083299
Nme1,Emp3,18.887349021608113
Pou2f2,Napsa,18.65537998752451
Gadd45a,Chil1,18.6462878644958
Pou2f2,S100a4,18.4356827909418
Nme1,S100a10,17.82111083848708
Irf8,Pld4,17.736228382507157
Anxa1,Camp,17.645191993850013
Nme1,Calr,17.50013302049817
Canx,Ptma,17.450401066761604
Anxa1,Trim10,17.27500935195927
Anxa1,Wfdc17,17.158909050086702
Mafb,Zeb2,16.639515479066485
Nme1,Retnlg,16.09951704379626
Anxa1,Syne1,15.19383266831447
Nme1,Ndufa4,14.698748066414415
Egr1,Ifitm1,14.624044219097753
Egr1,Cd200r3,14.181776545940501
Pou2f2,Ms4a6c,14.163813504992357
Gadd45a,Ifitm1,14.118851684243522
Mafb,Ms4a6c,14.103913668665673
Irf8,S100a4,14.03884131533935
H2afz,Ccnb2,13.90876775147139
Anxa1,Ifitm1,13.866405387907038
Anxa1,Slc4a1,13.839492791143183
Cebpa,Rec114,13.771985132116212
Anxa1,Lcn2,13.741894174912888
Mafb,Plac8,13.600530341604962
Anxa1,Ngp,13.385646474168714
Nme1,Npc2,13.353056297377767
Nme1,Lrg1,13.336395316883278
Mafb,Npc2,13.252418783347855
Irf8,Ms4a6c,13.213579705834638
Mecom,Myh14,13.124461007446111
Irf8,Ptma,13.001509186898264
Irf8,Chil3,12.973899282634209
Mafb,Pld4,12.95230126483899
Mef2c,Plac8,12.870831320066573
Bcl11b,Gimap3,12.856368099414514
Anxa1,Mgst2,12.84383464403227
Ehf,Cyp2f2,12.83262305329789
