,Ahr(+),Atf3(+),Atf5(+),Bhlhe41(+),Cebpa(+),Dbp(+),Ddit3(+),Ebf1(+),Egr1(+),Egr2(+),Elf5(+),Ets1(+),Ezh2(+),Fhl2(+),Fosb(+),Foxm1(+),Gata6(+),H1fx(+),Hes1(+),Hivep3(+),Hmgn3(+),Ikzf2(+),Irf7(+),Irf8(+),Jdp2(+),Klf4(+),Lef1(+),Mafb(+),Mecom(+),Mef2c(+),Mycl(+),Nfia(+),Nfib(+),Nfix(+),Nkx2-1(+),Nr1d1(+),Nr1h3(+),Nr2f2(+),Pax5(+),Pbx1(+),Pou2af1(+),Pparg(+),Sox2(+),Sox4(+),Spats2(+),Tcf4(+),Tcf7(+),Tcf7l2(+),Tfec(+)
B cells,0.012772198387143698,0.01715442099901314,0.0,0.0026122233006086923,0.011660576255629938,0.0002729316119810077,0.015359603164260834,0.06103067116596538,0.005663781203158455,0.0005913390507217664,7.369297222731538e-05,0.024657643654031575,0.003558597174080591,0.0,0.008151393159344537,0.0,0.0008547973357242113,0.00014463029727961442,0.006056749591558045,0.0,0.00019295988928129135,0.0,0.003818489465080121,0.028740206234008806,0.010077042578468478,0.03078143457618771,0.05282765346325195,0.015499000524658139,0.0,0.029977151781260036,0.0004893541994105643,1.392761014248077e-05,0.0006259131803731679,0.0006470603631968201,0.0010783095061310897,0.00013694859286793076,0.043390225843938,0.00045120433613484606,0.10668236251149113,0.0,0.06623170126462469,0.00947960048892906,1.238861103375e-05,0.0010398833452592998,0.0,0.010820550950952338,0.054579160975739956,0.0061751659177248005,0.00306171326335777
Dendritic,0.01992412381436308,0.08249540041908669,0.0,0.003640538728065968,0.04051839292575464,4.159259014156228e-05,0.027122426742355252,0.015178951479469885,0.005366941905869093,0.00028715288940627974,0.00025225752375758893,0.010045567081878377,0.0014476375085366163,1.6747258322510854e-05,0.01226178774118405,0.0,9.44834890716344e-05,6.979022341156583e-07,0.015954241374176024,0.0,0.0,0.0,0.014308279898123812,0.04245426619686383,0.022453939319853258,0.040372218179672334,0.022890070707902156,0.06113027271102931,0.00010111561920107225,0.06160662086835782,0.0002839488692306155,5.296132059135641e-05,3.862406486023459e-05,0.00039846929548599324,2.7308477297330474e-05,0.00011067071123941691,0.022129059824926384,3.960939640564865e-05,0.017634587444219467,0.0,0.000167384163453529,0.00886218769853621,8.834460999071441e-05,9.091279054849645e-06,0.0,0.010522120722297667,0.022413862012217133,0.012615305735158086,0.006098228460446138
Eryth.,0.009716865241978222,0.024806825666690752,0.0008848044566899002,0.004681100531706682,0.010369427856091792,7.132582756629574e-05,0.03300493786921631,0.0021718446430964797,0.013935701983042616,0.0006033762875401776,0.0014515693540869778,0.004399309454590292,0.0025712059871893034,4.2000629188544626e-05,0.008312972936909179,0.0007308820061201031,0.000337673049350764,0.000431652894020788,0.002949147811298673,0.00021256025674231947,0.0009249200441213232,0.0005667707174541104,0.0032405647216705467,0.011904491345127416,0.02825224529124966,0.013273056394918426,0.007918869031051642,0.017987389080829707,0.0005600021672014327,0.012704462133183719,9.927921595152981e-05,0.0006042888935966558,0.0007272777927367739,0.0015485652181255565,0.0010096741703384637,0.0006429878299979874,0.0037976522678557292,0.0002274596771998924,0.0019267083755196823,0.00010695213169724523,0.00045048352919294603,0.005117117911134049,0.0008400477624374168,0.003931213117126377,0.0002407805821467645,0.0026930575248057973,0.010810720917570233,0.004771133540536109,0.004774061199097613
Lung Ep.,0.02247044979581809,0.02680778124996128,0.0005616878884123535,0.0021768643320907084,0.01323393468942521,0.00026832711822567795,0.024879997460785553,0.004823385355606807,0.007192252371385404,0.0015290757009824396,0.04603638580875922,0.017919109916122337,0.0027515185101662995,0.0023937557834285746,0.010800926493547915,0.0,0.005783860775489416,0.003712542381341087,0.0018645532607089628,0.0,0.014240067635758458,0.0,0.003397461020066857,0.021998959647731794,0.017412989390669827,0.02334980727790386,0.03364035810425475,0.020116617006225215,0.032737759731693704,0.014651791555677451,0.0008992118802097988,0.004548400735035756,0.007754923790420788,0.007491129568491079,0.020086600287153585,0.002575938375803043,0.0017747369022016637,0.008686973968121202,0.0027386160163643475,0.006764930939915977,0.008297949190137105,0.003426424792482942,0.05771422581156774,0.006216361332867632,0.00829805391304962,0.003947695972539341,0.03544797313598568,0.0030937610961811533,0.004086914701804583
Macs 1,0.05433252737261651,0.07877903247993263,0.0,0.0022925569800924797,0.04464798620953719,9.824463488446747e-06,0.02498585515135387,0.0009619037708889209,0.0029227584586674323,6.887833466963504e-05,3.377496265878404e-05,0.008296950668407554,0.0008777542210225946,0.0,0.01143008899038157,0.0,0.000437961896310295,0.0,0.0026322127620489293,9.852809797484128e-06,6.281138864592367e-07,0.0,0.013800105318470663,0.04990807871478578,0.020972914551643514,0.04271093739917592,0.0284347521495251,0.07409908692134438,0.0,0.06240339128454045,0.0,6.990135127542064e-07,1.83757021050871e-05,0.000625772254882458,6.466297054816531e-05,4.360481354028725e-05,0.003939373189351094,9.970968882482307e-06,0.0010109087739853162,0.0,1.535146854691223e-05,0.0023902415384325824,0.0,7.078543915696641e-08,1.5454775841372073e-06,0.007564796462812315,0.02924226799341891,0.00612838414901715,0.006110910771036095
Macs 2,0.0074277582845977295,0.03271674513952412,0.0,0.02276981833449776,0.049355914465920706,1.4793515823741792e-05,0.023250808842746655,0.006192765399500386,0.0012568368961776517,6.993521911473844e-05,0.0,0.00464364733085229,0.0006561606812713069,0.0,0.007766325828759501,0.0,0.0006412100899098272,5.628890005350747e-07,4.9078421064927235e-05,0.0,0.0,0.0,0.001991039985264578,0.029761353555136764,0.012275480782675652,0.03686802976673399,0.009445482963959211,0.050544683771226694,0.0,0.028653468657717233,0.0,0.0038383466228485165,0.00015852397660768235,0.0006993180113958825,1.713790237411767e-06,8.273163839917389e-05,0.014614070029396268,3.931080580761882e-06,0.006350109887056467,0.0,0.0,0.011712163835505312,0.0,1.258887369655597e-05,2.10711434634e-05,0.0021151328847961496,0.015353349872199945,0.015887974778630836,0.015927929289427583
Macs 3,0.031991569950747305,0.0364500087254611,2.464477019423967e-05,0.014949373619948246,0.03602924188742545,1.1573939988195592e-05,0.018387831573192254,0.006581012172353303,0.001950352114744943,0.0007685370352008257,0.0002522199470599656,0.010965204875128455,0.0016437552486105328,0.0,0.006007401217812609,0.0,3.061313637175169e-05,0.00014476566507635647,0.0016677396701940638,0.0005147065498171147,2.1004585748531406e-05,0.0,0.0044671453768936826,0.032644713845735876,0.013296791447744974,0.03684336799282898,0.019710926759542023,0.04563477882499525,0.00011938868942386254,0.028442573848153647,6.820106978235399e-05,0.0011925453645500854,2.8690314199511188e-05,0.001998252074603971,0.00039024594635276525,0.0002102708295414116,0.012900611069275796,2.3732492748143214e-05,0.007198487448687527,0.0,0.0006458955884164788,0.010607344450864331,0.0001489888212557997,0.00014812452054373113,2.0231085607563085e-05,0.004942334034581905,0.02403832866140846,0.012047680517353103,0.012319783708351812
Neu-1,0.010238661072767588,0.0807776719764755,0.0,0.0035697180015849873,0.01038650337973042,0.0006175454139862646,0.13621715616097582,0.0003250724867301676,0.05572045803252247,0.006086598327595517,9.697485344037319e-05,0.0058761596966658575,0.0009945059928798546,0.0,0.04443720887031276,0.0,0.0006475886558044363,0.00012248241766863894,0.0023329129396757855,7.204155464340783e-05,7.635655129874305e-05,0.0,0.004978588671924746,0.010651655955796369,0.09198736515290154,0.011156157667190664,0.004485026862232766,0.024179799963214753,1.6177781385744226e-05,0.011417084186445438,1.1382239136415655e-05,7.583880475018396e-05,8.129672408918758e-05,0.0010816760622099882,0.00031528625789834625,5.652653567991291e-05,0.001295599656213132,5.369755153788227e-05,0.00037699316831471324,6.003159031221468e-05,0.00011087238802042505,0.003524308033835549,5.435320840698591e-05,5.49829030794559e-05,0.0,0.0026739669196381953,0.007056370798563887,0.0060705729968299,0.0032111399175075166
Neu-2,0.003337580568226799,0.06930112781117687,0.0,0.0025631630914427694,0.006507915846054491,0.00012974401290969002,0.1506687204767353,7.538431454062503e-05,0.047399538902571654,0.002838874281518935,4.517996328995502e-05,0.001137993757191995,0.00024141317485878696,0.0,0.03264880057603583,1.7497058122357884e-05,0.00021043022763289618,5.877912635374111e-05,0.00038613048953924,1.0119863039432031e-06,2.6245455909212753e-05,0.0,0.003335632806577156,0.008006275831883135,0.11881545267437839,0.004026933108529778,0.00066891378694166,0.022756113769614766,7.0994726073304985e-06,0.0073137622343582625,8.625295400951704e-06,2.3955426315379784e-05,3.251464007229853e-05,0.0008286062083156143,8.833089994908691e-05,4.460877258402363e-05,0.0004742739072616117,5.0372308908476264e-05,6.782728594436636e-05,2.3293918965280373e-05,4.3905547065981654e-05,0.002074151459543417,1.957003190040458e-05,4.708502936376322e-06,2.219017592092091e-06,0.0010806969420240613,0.001624412669859052,0.003702146148729874,0.0024548274112890208
Neu-3,0.010678939305516794,0.08049468602267547,0.0,0.003625076222527209,0.008525893042178143,0.0008713348518175864,0.14809290299495853,0.00013665205788608497,0.06156719388103464,0.00640235988929675,9.387176963763399e-05,0.003860968768981967,0.0004979897081360847,0.0,0.05686829463523159,0.0,0.00025626163307661335,0.0001338438822974868,0.0017580084847999896,4.197928442896093e-05,3.7496714753225784e-05,0.0002728691051805434,0.0036388331140183895,0.008193962862919419,0.09114859245900811,0.010228873996693266,0.0020707293956831454,0.0214980707711316,7.478337515427988e-05,0.008764850880280874,0.0,6.925420631759219e-05,3.70776996518513e-05,0.000738758022457105,7.730305740868518e-05,6.432504485806171e-05,0.0011870923758361956,3.344638210795695e-05,0.00013648852786473132,6.988009485653516e-06,8.86482477573127e-05,0.003747962299005187,8.198596360223699e-05,9.477632146225586e-06,0.0,0.002480813800857734,0.003891661380812481,0.006097083746594998,0.0031493501405552844
