,0
Irf8(+),603
Tfec(+),510
Bhlhe41(+),459
Tcf7l2(+),415
Mef2c(+),375
Atf3(+),308
Pparg(+),275
Fosb(+),230
Irf7(+),207
Nr2f2(+),191
Nfib(+),167
Cebpa(+),162
Tcf4(+),155
Ezh2(+),147
Nfix(+),142
Klf4(+),141
Ets1(+),122
Gata6(+),115
Mafb(+),114
Nr1h3(+),111
Ebf1(+),108
Ddit3(+),97
Jdp2(+),95
Nfia(+),86
Pax5(+),84
Nkx2-1(+),62
Lef1(+),57
Tcf7(+),51
H1fx(+),50
Hmgn3(+),35
Egr1(+),33
Nr1d1(+),33
Sox2(+),29
Elf5(+),27
Mecom(+),26
Spats2(+),22
Pou2af1(+),20
Sox4(+),20
Atf5(+),19
Hes1(+),19
Egr2(+),18
Pbx1(+),17
Hivep3(+),13
Dbp(+),11
Ahr(+),11
Mycl(+),10
Fhl2(+),9
Foxm1(+),6
Ikzf2(+),5
