,Ahr(+),Atf3(+),Atf5(+),Bhlhe41(+),Cebpa(+),Dbp(+),Ddit3(+),Ebf1(+),Egr1(+),Egr2(+),Elf5(+),Ets1(+),Ezh2(+),Fhl2(+),Fosb(+),Foxm1(+),Gata6(+),H1fx(+),Hes1(+),Hivep3(+),Hmgn3(+),Ikzf2(+),Irf7(+),Irf8(+),Jdp2(+),Klf4(+),Lef1(+),Mafb(+),Mecom(+),Mef2c(+),Mycl(+),Nfia(+),Nfib(+),Nfix(+),Nkx2-1(+),Nr1d1(+),Nr1h3(+),Nr2f2(+),Pax5(+),Pbx1(+),Pou2af1(+),Pparg(+),Sox2(+),Sox4(+),Spats2(+),Tcf4(+),Tcf7(+),Tcf7l2(+),Tfec(+)
Neu-1,0.19753326889444145,0.267054934350777,0.1674453888423022,0.23616675217604233,0.21108312008734176,0.2042077235571852,0.28389279078624097,0.17375973590368143,0.3008075746772608,0.2863813845014238,0.17335360932096788,0.19875536945627148,0.20911921556548452,0.1674453888423023,0.29333752057065954,0.1674453888423022,0.20308607536451917,0.1821528303553709,0.20207367519266228,0.17231614415134178,0.1741002397349003,0.1674453888423023,0.22842296859776234,0.20830641564248054,0.2684413809560017,0.2114524270957604,0.1830941144526902,0.22303612519566995,0.16836265408407114,0.20887854850247645,0.16891297783653558,0.17473024829657835,0.1803681648087806,0.22128556813098743,0.18012512193852548,0.17483944523112926,0.1917933044960034,0.18176254055055552,0.17472922762568877,0.17351690418164045,0.17164165686391653,0.23658459314344948,0.1707826696637551,0.17057425508635604,0.1674453888423023,0.21343180286106478,0.19050469193410258,0.2460461558714756,0.22384325192828813
Dendritic,0.22344831582261215,0.2764924715954816,0.1674453888423023,0.24360346477257466,0.3070503606704208,0.17323417198244728,0.1967544568670262,0.3861472996288118,0.18514330243371224,0.17246289632392597,0.17298184384684567,0.2241679283575594,0.23379476096833984,0.16958571575798087,0.21611151063731826,0.1674453888423023,0.17555647521540896,0.16769733033899903,0.382520941678288,0.1674453888423023,0.1674453888423023,0.1674453888423023,0.3255029031503226,0.29867697515367964,0.19693531528766972,0.3014775727289143,0.243800479486174,0.2931005948510408,0.1692189313923178,0.33720317272672373,0.18299426790168916,0.17021344897590696,0.1797847823348696,0.18933566944206015,0.16987120595104244,0.17624417747321475,0.3910090245479301,0.1794541163637895,0.372533241807387,0.1674453888423023,0.172886289496466,0.3212727582065673,0.1697705983035921,0.16833444767268868,0.1674453888423023,0.33794071865767705,0.23999563536567292,0.3178958724296138,0.26965403992640524
Macs 2,0.18148270020113622,0.19643103901661718,0.1674453888423022,0.345267179664421,0.26109052457550785,0.16884928218395745,0.18359674403511206,0.22961011141245247,0.17008241072473163,0.16887556684070548,0.1674453888423023,0.18409334555434143,0.18681952108466748,0.1674453888423023,0.18624923365112034,0.1674453888423022,0.18302322679007943,0.16759702952990574,0.16812254030664853,0.1674453888423022,0.1674453888423022,0.1674453888423023,0.1844502139126757,0.22390859367902072,0.1785819855051094,0.23936849707558516,0.18739934987416917,0.22967451606960054,0.1674453888423022,0.22088042973863253,0.1674453888423023,0.4529828023750453,0.1795540006113555,0.1924298708737463,0.16774393090418493,0.17304977425855683,0.27651400972289875,0.1687007907943845,0.2202061066437273,0.1674453888423023,0.1674453888423023,0.2780271298572341,0.1674453888423022,0.16831046325138777,0.1701889163524435,0.19322943462804654,0.19725480347693336,0.2710727389005434,0.2886234365922048
Macs 1,0.42888749363006984,0.34965066765436303,0.1674453888423023,0.2614983831940233,0.4288733859159478,0.1699567008215308,0.2177091944778694,0.1920373228707778,0.18717481201370545,0.16937835729505468,0.16875366342104758,0.2552812135177216,0.2412549769697544,0.1674453888423023,0.24919230003034398,0.1674453888423023,0.22400713757214952,0.1674453888423023,0.2358832378148903,0.1686147659307794,0.1676620081278395,0.1674453888423023,0.43351948868911094,0.42436953539716926,0.22054132153391504,0.4117432162567306,0.3312204941629818,0.41994727861748005,0.1674453888423023,0.46529500458197637,0.1674453888423023,0.16765948524241414,0.17719230106906358,0.23721910178829508,0.16858030210310315,0.17090404465899922,0.28125758321594785,0.17268580443321346,0.19393892392439294,0.1674453888423023,0.1685034428583223,0.2642770948577944,0.1674453888423023,0.16747280778815132,0.16797082573822575,0.3907548550996103,0.3283556627645481,0.31890540625567976,0.34512233396380865
Neu-2,0.19322459950909088,0.41934455924853786,0.1674453888423022,0.320224779162152,0.2534741706905703,0.20737052708477233,0.5290989855135597,0.17198466157974945,0.49396626693810863,0.2994170212554228,0.17194777819543783,0.1887515939532377,0.1964609331296152,0.1674453888423022,0.44943008531585826,0.16812583424437066,0.18814902409866485,0.17942219342812826,0.18158680861880372,0.16794542658429612,0.1723242365200507,0.1674453888423022,0.2933522482792038,0.2643179127856795,0.5225129976966705,0.22134484225442475,0.1754320736619681,0.3228211839198487,0.16834702566777693,0.25425979840189117,0.16816765691320412,0.1726610086542676,0.18094623551508326,0.2806659687189753,0.17976952137431734,0.1769525604130502,0.19599089162825833,0.2113351845870063,0.17154802299182537,0.17035087138293703,0.17068104967728825,0.2999370090223976,0.16974025357228517,0.16835491415174575,0.16794401721761776,0.2195058725277408,0.18403781024300436,0.32034271227870526,0.3012694780547236
Neu-4 classic,0.16806940636898993,0.24134854946290085,0.1674453888423023,0.20113211140676313,0.21399641266592806,0.16870788270286274,0.2833576327052204,0.16781676320802397,0.20859290328171454,0.17029781956214063,0.1680179721130487,0.16875506908353632,0.16916200857853192,0.1674453888423023,0.22301878108436235,0.1674453888423023,0.170842344114294,0.16997625216901846,0.16795993347857796,0.1674453888423023,0.1679872657071837,0.1674453888423023,0.23057241857509492,0.21338587285496968,0.3321603803483124,0.18433359887947043,0.16834989427854785,0.2510696376051995,0.1674453888423023,0.21722464755541893,0.1674453888423023,0.16812975524582996,0.1676386175144361,0.2511236592605832,0.16852422825457913,0.1961915387248122,0.17588529210073345,0.17960703517257337,0.16777083437481966,0.1674453888423023,0.1677364755448194,0.2065075344712095,0.16761375168564074,0.16778820015721352,0.1674453888423023,0.1866421241242836,0.1687104792041494,0.20967190184861606,0.22077359703182386
Prol.,0.2371998664681758,0.19656218710995088,0.1674453888423023,0.19601864891486587,0.22543831920398338,0.17066690301202714,0.1776761889441506,0.18401164150202487,0.17118458278432724,0.1694801737906223,0.1674453888423023,0.24672156896941544,0.3306327954914099,0.1674453888423023,0.18600412454964999,0.2848765086230558,0.1714269209015541,0.1776740784601607,0.175233516825529,0.1717347391941595,0.17128383027615046,0.17802292523465602,0.2084897550507233,0.23149364012443685,0.18180250802084574,0.22043550267711376,0.2345017971875012,0.21415019566526916,0.1674453888423023,0.22130845870019433,0.17034533307776278,0.17494597882633423,0.17033622517046232,0.2075116781379801,0.16768385999076052,0.1758408033646357,0.18475472524569914,0.16988902167382047,0.18619272871761539,0.1674453888423023,0.17060255069966335,0.1962386237455347,0.1674453888423023,0.1910713062402808,0.1674453888423023,0.20827746486693643,0.2332246432887053,0.20104124672890356,0.2138411140726849
Neu-3,0.19875125186452047,0.2671077947184306,0.1674453888423023,0.23736099829617918,0.2045927948409234,0.21401398834777752,0.2924006793768267,0.1709873339215353,0.31558094860633557,0.29853723290139844,0.1719260091525069,0.1904946986069267,0.18976130993946538,0.1674453888423023,0.3229443445109965,0.1674453888423023,0.1818219427578791,0.18303818605539102,0.19417036013440303,0.17171716243294843,0.1713990174798552,0.16972869907399057,0.21422962838263604,0.20059150456229002,0.2684587512428619,0.20850909311046606,0.17557938506589554,0.21768628598995643,0.16950449431913106,0.20128640931775466,0.1674453888423023,0.17454625775835364,0.1753585602472938,0.2052911972864322,0.17619569443159822,0.17297212082130486,0.19037759467350823,0.17851389947769936,0.17060579568784495,0.1686858825941674,0.1701391055620245,0.2408331452501783,0.1707131860563349,0.16809616871769983,0.1674453888423023,0.20999242470965362,0.1810183923641474,0.2467485216080504,0.22315018176375157
Macs 3,0.23293243019702115,0.20718217848020304,0.16989472413673135,0.32129380959793896,0.2589623733405205,0.16896340439995217,0.18409587621152868,0.24595498991279774,0.17221192576350453,0.1804158021600114,0.176382640351762,0.21179460722115695,0.22001189883064187,0.1674453888423023,0.1867516646354752,0.1674453888423022,0.17098348596570034,0.17963760669144457,0.18796601252863776,0.19070000606781368,0.16955074019141558,0.1674453888423023,0.20623960393280394,0.24389070810446478,0.18260196018618036,0.25789571598708716,0.21512584508079535,0.23961444217890115,0.17149583187503825,0.23243382820496827,0.1730247306635494,0.25984821469130825,0.17384642880197787,0.24714683804975024,0.1805663527215421,0.17843261225329032,0.28267338295483146,0.1733625886966781,0.23813884057287893,0.1674453888423023,0.17918350683172823,0.29308333697324895,0.1728809084591788,0.17498463051500113,0.17258300022524753,0.2317966992239462,0.22115381160290537,0.27105582944141005,0.29041674550615093
T cells 2,0.23618069590832025,0.17802341562710255,0.1674453888423022,0.18245860280708726,0.19047645400777746,0.2062408789411092,0.1745439834783571,0.16915925514583963,0.18204203116942186,0.1697235229166063,0.1674453888423022,0.2952732091477459,0.21777994993451755,0.1674453888423022,0.20048850135103957,0.1674453888423022,0.17003906581567574,0.18057541635246233,0.17217660825620407,0.1674453888423022,0.1674453888423022,0.18133084488377837,0.19702725555865408,0.21002005995081108,0.16955951951066583,0.20392617333189944,0.23059423350199149,0.17637592932094015,0.1674453888423022,0.18339754769859318,0.1674453888423022,0.16835749203317918,0.17180483364335553,0.2114525443769526,0.1692363992405579,0.1878429815650594,0.16996669197757597,0.170259727851381,0.1718621102554625,0.1674453888423022,0.17259977622489464,0.18532975258600692,0.1674453888423022,0.17494472332648803,0.1674453888423023,0.1983577227068185,0.22722970986819757,0.1822847599800913,0.18783465642428077
