TF,target,importance
Irf7,Plet1,36.23389278446803
Arg1,S100a10,29.046343948766715
Arg1,Krt19,28.000276698346727
Arg1,Plet1,26.57484349411066
Irf7,S100a10,25.257113008667197
Irf7,Ppbp,23.84947182644494
Arg1,Ppbp,21.231783322057595
Irf7,Krt19,20.774173134981382
Irf7,Krt23,20.33520598812287
Egr1,Cxcl2,18.006200187931267
Irf7,Cxcl2,17.95185198465504
Irf7,Ftl1,17.81237569257041
Irf7,Isg15,17.346227840520925
Yod1,S100a10,17.297122721365053
Hmgn3,Fscn1,16.674586106580463
Jdp2,Krt19,16.65804788845953
Yod1,Krt23,16.358051358889846
Hspa5,Derl3,16.062002819542762
Egr1,Slc4a1,15.939293292956433
Arg1,Cd81,15.191240179916065
Arg1,Laptm5,15.160009676904178
Bcl11b,Cd3e,15.146690558446814
Tfec,Tln2,14.95593101787987
Egr1,G0s2,14.937677821824462
Irf7,Arg1,14.862163917447434
Ddit3,Abi3bp,14.619983748932874
Jdp2,Ppbp,14.561957778948965
Dnmt1,Heg1,14.527983175493253
Arg1,Ftl1,14.095926780630462
Arg1,Cxcl2,13.90999259517077
Egr1,Ier3,13.856103059625859
Irf7,Epcam,13.787665325987232
Anxa1,Krt23,13.64741396666461
Irf7,Ccl8,13.582663183308764
Jdp2,Plet1,13.31511258801592
Nfib,Scgb3a2,13.213163331625733
Sox2,Nuf2,13.133869233097073
Jdp2,S100a10,13.08041990988526
Irf7,Cd55,12.838786644452734
Ebf1,Gm31243,12.833660661860591
Arg1,Krt23,12.591920972187609
Arg1,Glrx,12.288691844989902
Hspa5,Creld2,12.269252605102517
Bcl11b,Nkg7,12.234324660564383
Hspa5,Hsp90b1,12.220818430850791
Arg1,Epcam,11.757953546727595
Irf7,Tspan1,11.393271617527667
Gadd45a,Gypa,11.391914025467678
Nr1d1,Aldh3a1,11.38288208218799
Bcl11b,Cd3g,11.305461779326935
Yod1,Krt19,11.278311938561817
Arg1,Isg15,11.263764087259261
Arg1,Irf7,11.173702733378748
Arg1,Gypa,11.056101678620998
Jdp2,Ftl1,11.036108435045685
Ehf,Ppbp,10.91494530663115
Irf7,Glrx,10.89313598708186
Ebf1,Ms4a1,10.886306405981069
Hspa5,Ddit3,10.770499922918148
Pou2af1,Igkc,10.760158041269698
