,Adarb1(+),Atf3(+),Atf5(+),Bcl11b(+),Bhlhe41(+),Cebpa(+),Dbp(+),Ddit3(+),Ebf1(+),Egr1(+),Egr2(+),Ehf(+),Ets1(+),Ezh2(+),Fhl2(+),Fosb(+),Foxm1(+),Gata6(+),Hes1(+),Hmgn3(+),Irf7(+),Irf8(+),Jdp2(+),Klf4(+),Lef1(+),Maf(+),Mafb(+),Mef2c(+),Nfia(+),Nfib(+),Nfix(+),Nr1d1(+),Nr1h3(+),Nr2f2(+),Pax5(+),Pbx1(+),Pparg(+),Sox2(+),Sox4(+),Tcf4(+),Tcf7(+),Tcf7l2(+),Tfec(+)
B cells,0.0,0.009593287595870073,0.0021920755140413003,0.0,0.011058772643543354,0.0018036680473641363,0.0072775393924840726,0.0158076949851534,0.20265603923203937,0.008794864971729127,0.007712779330776437,0.00024329187371414547,0.026351358977524462,0.0004088359433975727,0.0004020968310458818,0.009798955915822555,0.0,0.0,0.0,0.0011614618571834,0.009061901120052228,0.01788136905960608,0.0062602469039401915,0.007651597637388246,0.0018315017872066362,0.0,0.004420432195821045,0.03800059721931239,0.029280024267998837,0.0,0.006653881231379628,0.0036784542456694633,0.0039715958689117365,0.0,0.22853686367833273,0.001989514409036886,0.006694604518702882,0.0008721959151616637,0.00022916220737838965,0.00935262560261161,0.007210031455590863,0.009775459531469265,0.012220692144643101
Dendritic,0.0006543030318900765,0.042734678659054684,0.0009078669364526471,0.0,0.01755985631116046,0.0,0.004871664586955079,0.007039074663835604,0.011139862881818395,0.04698651490110032,0.017683290898013137,0.002175102766338006,0.0026128978496174674,0.00047480813382766164,0.0,0.036310712849041256,0.0003248021268252412,0.0,0.0,0.0023817126575344997,0.007863791880883417,0.029498652401576675,0.007862303112483924,0.007218065273441418,1.5758298532273528e-05,0.012699278213787593,0.03371844108165132,0.045228281669440415,0.021466657107469634,9.596509115064117e-05,0.0017798106136192617,0.0018466414470928588,0.020698276860366578,0.00014835684845631767,0.012853432699527864,0.0011273551689203734,0.010077669582088855,0.0031104121281211607,0.0004687293919324675,0.015160285710021024,0.0006611436422450206,0.0194131694300308,0.01609236936414263
Eryth.,0.0,0.039423697580636415,0.0012619162233848077,0.0,0.012533491125082733,0.03001488622408535,0.007158514673614465,0.01594561319873286,0.0020237289216629693,0.07626761550308463,0.027104430690379818,0.00802893710255344,0.0030445931471197655,0.0008623896310018836,0.001906651865301946,0.052678458320367806,0.004868679167437962,0.0003020661140655346,0.0,0.0033251206457276658,0.01406344712255487,0.011709914693485774,0.0157922318047614,0.0173546365928844,0.0016080499629207922,0.0,0.007473667613646474,0.007524809849424777,0.001738261806053756,0.000886905046627746,0.0010797337913739885,0.007839060973782095,0.004872500585764946,0.0007814351757824846,0.00032095019035942876,0.002094908501772096,0.007092899862126191,0.0012906502183154143,0.0038615148289411305,0.0022793207841588906,0.002281278727692596,0.00808266283925103,0.010065083895022583
Lung Ep.,0.0015265945543209906,0.01601461219761646,0.003429053954376243,0.0,0.011095418524735393,0.01192069065273304,0.01124847823873051,0.01377214057077145,0.00855286702209834,0.02308840121832026,0.0027266029486809834,0.008329938945265606,0.0006970526363182306,0.0025592192071394798,0.011115876191339046,0.016661982322785582,0.00029034938023779846,0.008317844199876877,0.004615216040956792,0.002225363528971053,0.01881506794525072,0.011671249766236768,0.01804460368128073,0.013961290094633389,0.0044088434585221915,0.004255704344108738,0.0026747858878893994,0.004391487883492227,0.01868022654563152,0.008869157833510184,0.009285377129978773,0.007027189339531389,0.006049753370566302,0.0030377024563055847,0.0026685659629558374,0.008816457469128893,0.006290524689368585,0.003670854445566179,0.023964965232021886,0.003772694742593622,0.0003906660564193656,0.005677289211575341,0.006148634452190737
Macs 1,0.0,0.05222197607956787,0.00032150440872605833,0.0,0.0336588896132605,0.0,0.006117915666884525,0.005679181180704908,0.0009101135068615471,0.01972302382473474,0.012075625035945189,0.000837371599644225,0.001132429440482201,0.0004014736546841152,0.0008543839227615945,0.011583801455537905,0.0,0.0,0.0,0.0,0.0096732788872127,0.03604249743579918,0.008441993304256927,0.012072005918916742,0.00011396580830708335,0.00048265734414629723,0.03397624236571033,0.03740287291144141,0.0025912277493646213,0.0,0.018865034708707748,0.0017556598397724691,0.038632961334244445,0.0,0.0007006353146524083,0.0003053581879575623,0.0068220050498392195,8.312528706689155e-05,0.0016741409171420305,0.012617513381583269,0.0001326887121240611,0.017453726593781946,0.02098916321385866
Macs 2,0.00047564320245720805,0.05260845021029901,0.0011065107261221648,0.0,0.03589942717640524,0.0,0.0040754428760244685,0.005308521443792662,0.002644991250018639,0.0289894166826589,0.021979446406326396,0.00020709356350234506,0.00033160034393684204,0.00033415750445179145,4.184286404333443e-05,0.0180422369852464,0.0,0.0,0.0,0.0,0.0043994256380380835,0.03541585146747846,0.0032717349355741647,0.005706426990763221,5.7722705246427946e-08,0.00026967161355472675,0.023349518469317605,0.017360117661796116,0.003985317615121115,1.957738267717216e-06,0.002986068128025514,0.0005297686410811065,0.02831585079939661,6.748425363150183e-07,0.0011704944484461244,0.00021866652323142472,0.009909468558041057,5.749906465421567e-05,0.0002577636219511572,0.007347426543433508,2.8969549951996337e-06,0.01932885149513471,0.025424899418697536
Macs 3,0.002271349729984327,0.03897652001226116,0.0033687116679176187,0.0,0.03192130147067898,0.004295731117010898,0.00995860481033671,0.014369089637732221,0.0021162862880856922,0.026702612347335643,0.019519227736784023,0.00574520335078141,0.00047735621379868575,0.0005869876975820252,8.837665418060988e-05,0.01713441523508599,2.839078467786543e-05,0.0,0.0,7.833982801224691e-05,0.01846244711794283,0.03153700138107244,0.01828626823411678,0.018768070690504946,0.00015256589273988518,0.0009310729163948395,0.01949657046317179,0.01639165860604958,0.004979825469503572,0.00012244794658436544,0.005557286103329982,0.004386997802763198,0.02540099819980666,0.0001164951913613283,0.0011763767921628915,0.0007720356767084201,0.013085550004327423,0.0006879173483610258,0.0007096476928186678,0.008328535014087092,0.0005843948090325852,0.018182410941871816,0.02188828751413083
Neu-1,0.0014023016848423062,0.08208363533235509,0.005943311518612392,0.0006003959975864474,0.016056489875235735,0.00038708856565011833,0.012637314618078401,0.020463882130136377,0.0005081918965318938,0.19050798718005976,0.04134701159680107,0.006083545311730273,0.0020826979071057825,0.0005523619692420717,0.0038233751841722954,0.13400546858948084,0.00025158384790907097,0.0002838530710399389,0.0003343505569079132,0.0005689792305627509,0.01018812672342522,0.014061217561057694,0.011946173831904081,0.01040952317996029,0.00037546808034378534,0.0002778683674417778,0.009371717815736638,0.007834591939247936,0.004954180603108503,0.0005251201826563235,0.0027901284683249975,0.006721232758058405,0.003972200903592122,0.0005965583892407786,0.00038160524366116186,0.001588379512310837,0.006437795697877706,0.0007203175659459235,0.001093373203933361,0.004386482240007592,0.0004792841831370761,0.012383203648180297,0.012935647713653404
Neu-2,0.0022066363724846582,0.08612919437035442,0.005802729571527916,0.0,0.01252408128767374,5.975006555410695e-05,0.012048141578877916,0.01978256142980706,0.00023144123461009883,0.2671830704088527,0.023687051351592207,0.006955696231914032,0.001587525605426089,0.00022665165102992913,0.004180540843216489,0.18937463105641406,7.147642500971222e-05,0.00018419474252142972,0.00026336929888759713,8.995540714913746e-05,0.010591281022817546,0.009835912568945447,0.012709271642445077,0.01007240388586654,0.00016509944637986733,0.0004071346973121562,0.00572138380009213,0.004234787089764439,0.0015993965198409523,0.0004598479295759556,0.003013491738902248,0.004934965759576706,0.0028800460622509,0.0004316809752642236,0.00021486690936313107,0.0008958165285802944,0.004460799451638361,0.0007572912014985327,0.0005146955710765987,0.00209139634885538,0.0003080177637528066,0.008213630386898109,0.00856232397499608
Neu-3,0.004297233701288656,0.12571525858471852,0.01084224801862032,0.0006777626524161717,0.018703395416139742,0.0,0.017276962088252166,0.029484789040754883,0.0001315458214719975,0.1843383236386052,0.026707747387937644,0.0037306274528684214,0.0014398843883148714,0.0002407069565725,0.0035107650679961754,0.11648081208174885,0.00014989267397175354,8.015780853465821e-05,4.8995269564680894e-05,0.00021273491375769664,0.009352845817138992,0.01312956318981926,0.010907257620138087,0.008302196283145985,0.00023786065386764148,0.0002292470864380986,0.01043443511703986,0.004973080996255331,0.002161801289686556,0.0005896272433613048,0.0016428916781872668,0.010488170406233226,0.005576845626016872,0.0008286285179537585,0.00012059433963295174,0.0009607281968184837,0.00417958138201041,0.0004701653157712738,0.0008465739188984459,0.0030710599448319545,0.0008491030621951913,0.009110799745666927,0.011289114412584152
