,Adarb1(+),Atf3(+),Atf5(+),Bcl11b(+),Bhlhe41(+),Cebpa(+),Dbp(+),Ddit3(+),Ebf1(+),Egr1(+),Egr2(+),Ehf(+),Ets1(+),Ezh2(+),Fhl2(+),Fosb(+),Foxm1(+),Gata6(+),Hes1(+),Hmgn3(+),Irf7(+),Irf8(+),Jdp2(+),Klf4(+),Lef1(+),Maf(+),Mafb(+),Mef2c(+),Nfia(+),Nfib(+),Nfix(+),Nr1d1(+),Nr1h3(+),Nr2f2(+),Pax5(+),Pbx1(+),Pparg(+),Sox2(+),Sox4(+),Tcf4(+),Tcf7(+),Tcf7l2(+),Tfec(+)
Adarb1(+),1.0,0.013559322033898313,0.0,0.0,0.025793650793650813,0.0,0.006802721088435382,0.005050505050505083,0.0,0.0,0.046875,0.0,0.0,0.00917431192660545,0.0,0.03260869565217395,0.0,0.0,0.0,0.0,0.005899705014749235,0.01966717095310133,0.0030030030030030463,0.017964071856287456,0.0,0.0,0.029069767441860517,0.019607843137254943,0.011904761904761862,0.011627906976744207,0.05405405405405406,0.017857142857142905,0.008403361344537785,0.0,0.0,0.012499999999999956,0.05371900826446285,0.008695652173912993,0.03960396039603964,0.017341040462427793,0.0,0.029612756264236872,0.029680365296803624
Atf3(+),0.013559322033898313,1.0,0.009933774834437137,0.0,0.3448275862068966,0.0,0.007352941176470562,0.01538461538461533,0.0068728522336769515,0.2482993197278912,0.08552631578947367,0.0,0.06043956043956045,0.04094827586206895,0.006451612903225823,0.1511254019292605,0.0,0.0,0.0,0.009933774834437137,0.00666666666666671,0.30319888734353273,0.010152284263959421,0.006976744186046546,0.013245033112582738,0.0,0.2747933884297521,0.30326295585412666,0.03264094955489616,0.008645533141210415,0.010033444816053505,0.0062893081761006275,0.17846153846153845,0.008571428571428563,0.024464831804281384,0.04166666666666663,0.1409691629955947,0.007978723404255317,0.036619718309859106,0.13436692506459946,0.006349206349206327,0.2565905096660809,0.2727272727272727
Atf5(+),0.0,0.009933774834437137,1.0,0.0,0.0077071290944122905,0.0,0.04054054054054057,0.06217616580310881,0.0,0.0,0.0,0.012820512820512775,0.0,0.018018018018018056,0.037735849056603765,0.0,0.020000000000000018,0.045454545454545414,0.0,0.0,0.035820895522388096,0.00591715976331364,0.03658536585365857,0.023255813953488413,0.02083333333333337,0.0,0.0027855153203342198,0.004761904761904745,0.0,0.02197802197802201,0.0,0.0,0.024390243902439046,0.0,0.0,0.012048192771084376,0.015564202334630295,0.01666666666666672,0.009090909090909038,0.016759776536312887,0.016949152542372836,0.008810572687224627,0.00439560439560438
Bcl11b(+),0.0,0.0,0.0,1.0,0.001996007984031989,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.018867924528301883,0.004901960784313708,0.0,0.0,0.0,0.0,0.0,0.0,0.003076923076923088,0.0030441400304414,0.0031446540880503138,0.0,0.03703703703703709,0.0,0.00295857988165682,0.0024999999999999467,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006849315068493178,0.0,0.010000000000000009,0.011235955056179803,0.0,0.05405405405405406,0.0,0.0
Bhlhe41(+),0.025793650793650813,0.3448275862068966,0.0077071290944122905,0.001996007984031989,1.0,0.00994035785288272,0.0112540192926045,0.019490254872563728,0.00988142292490124,0.06946983546617913,0.0703125,0.0036231884057971175,0.04861111111111116,0.14169381107491852,0.0037878787878787845,0.06666666666666665,0.01740812379110257,0.003853564547206201,0.0019723865877712132,0.0038387715930902067,0.043147208121827374,0.5650406504065041,0.039540816326530615,0.050000000000000044,0.01945525291828798,0.003960396039603964,0.4176570458404074,0.46808510638297873,0.0780952380952381,0.023423423423423406,0.019607843137254943,0.003731343283582045,0.15134099616858232,0.02146690518783545,0.03752345215759845,0.07345575959933226,0.33333333333333337,0.03466204506065862,0.06934306569343063,0.1753130590339893,0.017110266159695797,0.5549999999999999,0.5877342419080068
Cebpa(+),0.0,0.0,0.0,0.0,0.00994035785288272,1.0,0.014598540145985384,0.0,0.0,0.0,0.0,0.032258064516129004,0.0,0.03431372549019607,0.052631578947368474,0.0,0.02857142857142858,0.06896551724137934,0.0,0.0,0.00911854103343468,0.009104704097116834,0.0,0.0,0.0,0.0,0.011730205278592365,0.00992555831265507,0.027027027027026973,0.06849315068493156,0.03448275862068961,0.021276595744680882,0.009090909090909038,0.038461538461538436,0.0,0.03378378378378377,0.012345679012345734,0.009433962264150941,0.04347826086956519,0.0060240963855421326,0.0,0.009111617312072884,0.006833712984054663
Dbp(+),0.006802721088435382,0.007352941176470562,0.04054054054054057,0.0,0.0112540192926045,0.014598540145985384,1.0,0.4136363636363637,0.0,0.0,0.0,0.07558139534883723,0.004273504273504258,0.03105590062111796,0.03870967741935483,0.0,0.0,0.04109589041095896,0.022058823529411797,0.0,0.3402366863905325,0.014193548387096744,0.31563421828908556,0.20512820512820518,0.0,0.0,0.0241758241758242,0.009560229445506718,0.020725388601036232,0.041884816753926746,0.0,0.2158273381294964,0.0043290043290042934,0.04123711340206182,0.016574585635359074,0.0703125,0.011019283746556474,0.07547169811320753,0.043269230769230727,0.0034843205574912606,0.0,0.014388489208633115,0.014414414414414378
Ddit3(+),0.005050505050505083,0.01538461538461533,0.06217616580310881,0.0,0.019490254872563728,0.0,0.4136363636363637,1.0,0.0,0.011363636363636354,0.0,0.107981220657277,0.0,0.018617021276595702,0.024154589371980673,0.0038910505836575737,0.0,0.0,0.010638297872340385,0.004901960784313708,0.48235294117647054,0.026993865030674802,0.4969879518072289,0.30078125,0.004878048780487809,0.0,0.03400000000000003,0.012237762237762184,0.004048582995951455,0.020408163265306145,0.0,0.11111111111111116,0.0035460992907800915,0.028455284552845517,0.008583690987124415,0.07973421926910296,0.0072289156626506035,0.12048192771084343,0.03875968992248058,0.005934718100890191,0.0,0.021594684385382035,0.019933554817275767
Ebf1(+),0.0,0.0068728522336769515,0.0,0.0,0.00988142292490124,0.0,0.0,0.0,1.0,0.0,0.01666666666666672,0.0,0.044642857142857095,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.016742770167427756,0.0,0.0,0.02777777777777779,0.0,0.011627906976744207,0.027568922305764465,0.0,0.0,0.0,0.0,0.0,0.0,0.1578947368421053,0.0,0.0040322580645161255,0.0,0.0,0.0625,0.021276595744680882,0.0113378684807256,0.006787330316742057
Egr1(+),0.0,0.2482993197278912,0.0,0.0,0.06946983546617913,0.0,0.0,0.011363636363636354,0.0,1.0,0.19469026548672563,0.0,0.11695906432748537,0.006993006993006978,0.008620689655172376,0.3252032520325203,0.0,0.0,0.0,0.0,0.0,0.061516452074391936,0.0050000000000000044,0.00421940928270037,0.009090909090909038,0.0,0.052369077306733125,0.08277404921700227,0.006578947368421018,0.00649350649350644,0.01904761904761909,0.0,0.010752688172043001,0.012820512820512775,0.007194244604316502,0.00877192982456143,0.06953642384105962,0.005464480874316946,0.01764705882352946,0.047210300429184504,0.008264462809917328,0.08108108108108103,0.07453416149068326
