,0
Irf8(+),656
Bhlhe41(+),499
Tcf7l2(+),434
Tfec(+),433
Mef2c(+),398
Mafb(+),336
Irf7(+),323
Jdp2(+),316
Atf3(+),281
Pparg(+),237
Ezh2(+),202
Ddit3(+),181
Tcf4(+),158
Klf4(+),152
Pbx1(+),144
Dbp(+),130
Ets1(+),105
Nr1h3(+),102
Sox2(+),98
Sox4(+),87
Egr1(+),86
Fosb(+),77
Nr2f2(+),72
Nfib(+),69
Nfia(+),67
Ehf(+),55
Pax5(+),54
Egr2(+),49
Nr1d1(+),39
Tcf7(+),36
Fhl2(+),31
Foxm1(+),27
Lef1(+),25
Atf5(+),24
Hmgn3(+),24
Gata6(+),22
Nfix(+),21
Adarb1(+),18
Ebf1(+),12
Cebpa(+),9
Hes1(+),9
Maf(+),8
Bcl11b(+),3
