,Adarb1(+),Atf3(+),Atf5(+),Bcl11b(+),Bhlhe41(+),Cebpa(+),Dbp(+),Ddit3(+),Ebf1(+),Egr1(+),Egr2(+),Ehf(+),Ets1(+),Ezh2(+),Fhl2(+),Fosb(+),Foxm1(+),Gata6(+),Hes1(+),Hmgn3(+),Irf7(+),Irf8(+),Jdp2(+),Klf4(+),Lef1(+),Maf(+),Mafb(+),Mef2c(+),Nfia(+),Nfib(+),Nfix(+),Nr1d1(+),Nr1h3(+),Nr2f2(+),Pax5(+),Pbx1(+),Pparg(+),Sox2(+),Sox4(+),Tcf4(+),Tcf7(+),Tcf7l2(+),Tfec(+)
Tumor,0.17263035086429024,0.2562312600688077,0.426226682855975,0.1681522776765343,0.2737069028792398,0.17637030404910847,0.6605853979475407,0.6591262033016008,0.16902502902696437,0.21145598640782037,0.18159145037446578,0.706616889781661,0.17658268849586944,0.23389972903829181,0.32298175234058535,0.19577772361052748,0.17687908799772367,0.1853354145280668,0.21075187184344402,0.19486375563732294,0.7692339600492422,0.25533308781283526,0.7649756659543502,0.7504452505902012,0.17309586369156205,0.1987507884749774,0.32228470121383035,0.20116044322409765,0.19830851981020003,0.327613531838328,0.17309219141362409,0.671519253944975,0.18271578768845642,0.341282220457515,0.1777566047834881,0.46114069863327334,0.19728430554022425,0.4627230275871871,0.31619852565944206,0.2323845974080514,0.17202258390641578,0.2593647501489468,0.2593023594696635
T cells,0.1674453888423023,0.17128413431912415,0.16941443088421715,0.34598344011654547,0.17509848764287894,0.22112831128883548,0.17042751477455909,0.1702908301575633,0.19138836034611895,0.1705482028529468,0.17084661531292278,0.16884386471639123,0.3046831305018862,0.19026600631002244,0.17810776527830197,0.1710518040946558,0.17822559118807602,0.18363645310248256,0.172259364115808,0.21995302027737829,0.17098360403252388,0.17843373984308808,0.17051817246833445,0.17176590029433259,0.3918258807962771,0.23294050500003782,0.17356471324061196,0.1792829018950901,0.20756212307141853,0.17824190661793193,0.18835851771276035,0.16982259263370525,0.17971076721080692,0.18784782376886944,0.20566905472758945,0.17742499886025032,0.1808613077591511,0.19293822774212033,0.17792998192398524,0.17275686729232176,0.35565037649546216,0.17661049151600094,0.17689806223280546
Neu-1,0.2279758604978367,0.4407380211271642,0.2604596276962079,0.17269359633356152,0.42623452061483913,0.17726492911893788,0.26711309789053994,0.2706209782520145,0.21367794405822038,0.46941747940975753,0.5190508303853074,0.22981692929332587,0.4069010179087854,0.3673188001936609,0.270682296257018,0.476136287703661,0.19513784501196563,0.18351602892871266,0.17814854871658847,0.21568646662090296,0.22720453576288957,0.4348305153499452,0.23186591040416538,0.23381162990723448,0.2163013568686314,0.1756677543815801,0.40544085523238294,0.4503552257516762,0.36736901479004913,0.2143641789471451,0.2977664246205186,0.25116618653558365,0.3218801567369137,0.24282928470853848,0.2220588849957127,0.28896070416111286,0.44926221112729225,0.23944300390291506,0.24828562822487055,0.4472195133404161,0.19503232148532867,0.4659035889082115,0.4537543164630259
Neu-2,0.20532702393405433,0.328273139082344,0.22007861198899492,0.1674453888423022,0.28819803886873285,0.16906492636043746,0.22173010304688012,0.22492469114048141,0.18338225442685518,0.3923254091359728,0.2958789470607498,0.20911590445783912,0.2821041243942677,0.22137822850183753,0.23746437036270684,0.3991744827766449,0.17569529791530847,0.17603814733869594,0.17482685096189488,0.17680637160884916,0.2018102194988658,0.2822653535165863,0.20549669061929143,0.20402160781986034,0.1857436391704027,0.17632434948966647,0.2596442262553069,0.2679389735882838,0.2164994700073516,0.1956553968439504,0.2715442022953558,0.2056278767055415,0.23841399005750685,0.20816393812476774,0.18712418327936442,0.21343173934987958,0.2875493898790653,0.21458217336544372,0.19324045724366623,0.26015425833828276,0.17992919954676667,0.2906746775206832,0.28556138394968
Macs 2,0.17831129693016046,0.2165984556434647,0.17294899248392803,0.1674453888423023,0.2903975161453073,0.1674453888423023,0.17672498334522313,0.174488357170148,0.2490183809218004,0.18430078252328075,0.2240394738307162,0.16798779911424455,0.18254175806555373,0.2151688191500415,0.16793768302475676,0.18300896375613407,0.1674453888423023,0.1674453888423023,0.1674453888423023,0.1674453888423023,0.17390078183715418,0.3068190501315131,0.17183272448405928,0.17629675389338284,0.16745412608703003,0.17160858532578016,0.28916189766422407,0.3032862630844153,0.2171868322395668,0.16756031394354354,0.2006813031439807,0.16911047664939416,0.3804826903415385,0.16751290503473037,0.21731887638631697,0.1756927990490077,0.2748792314062257,0.16911202700566308,0.1749882695337278,0.28224103247072496,0.16764039251650287,0.2765498137600605,0.29147654678418145
Prol.,0.1674453888423023,0.17465838772678466,0.1682095817483792,0.1674453888423022,0.1877784932904185,0.1674453888423022,0.16862892427288279,0.16871881623260343,0.1945544642262531,0.17034807306179778,0.175151713709641,0.1674580503995784,0.1728641566404796,0.2247164472555827,0.16906815103062522,0.1700629447533909,0.25779318367221504,0.17332541215773212,0.1674453888423022,0.17996429928347635,0.168191513886783,0.19199292954823433,0.1680548564579898,0.1693546090511706,0.17430142399612913,0.1753978587917654,0.18523796807492166,0.19273083782880407,0.21056831539854648,0.16860953979959514,0.20299599004867508,0.1676973883365832,0.1959679383763253,0.1687324145309862,0.1821921629034099,0.16937594281625978,0.1925562155339514,0.17772572430893507,0.17544906815369876,0.18623078101176738,0.16853474847665229,0.18877642786214177,0.18980997566656888
Neu-3,0.2267006195101714,0.41162999136454703,0.26498805257901803,0.17291626391647474,0.3536855045318452,0.1674453888423022,0.2516994384507776,0.2577255871250542,0.17758545918136992,0.3561877051184905,0.3303444077068235,0.19387975955914705,0.28802566330210544,0.23261294266611365,0.23849734977099424,0.34458258203684655,0.17888451710006348,0.17131985356072577,0.16939183160521798,0.18561618802299396,0.20316720253531262,0.3304135979862056,0.20571637519388963,0.20237747191301625,0.18992820268790245,0.17399774665395407,0.3348551585618612,0.29739504355470936,0.23519076767989167,0.21183709293604458,0.2313518846891639,0.25033009280574414,0.3021900555060695,0.25124237035979613,0.1824674569777992,0.22460599607442666,0.2985192051332448,0.2063759629097166,0.2168631807538569,0.30753190701383326,0.20606117369821397,0.31977354425797055,0.33387124983242933
Lung Ep.,0.18058214599407751,0.17700710554949683,0.1752115417406912,0.1674453888423022,0.19389876834499375,0.28711000440253676,0.17970714059279091,0.17709514139102123,0.3036974804635759,0.17427688798426944,0.1717420088619196,0.17931231850736806,0.18165419769542224,0.24615777737280187,0.21823570442902485,0.1745258436942574,0.1811232542223985,0.31414373847476884,0.20800785760249374,0.20491374392387718,0.17986688018454733,0.19936599688743928,0.17859911899555414,0.17773416884957505,0.20207864679874243,0.20491966048904398,0.17874916479385472,0.1926501534876328,0.27738687815637786,0.2912728714084142,0.23399139292544313,0.17912200678947354,0.20234696671506813,0.2165056795494974,0.23505469817065638,0.26095631444568146,0.20854800165625476,0.20942312607186497,0.38200993635505687,0.1954392459625227,0.17510260746839912,0.18954380569825036,0.18914225897562875
Macs 1,0.1674453888423023,0.1766596808022166,0.16775118714418047,0.1674453888423022,0.19087432010369465,0.1674453888423022,0.16983755751273089,0.16887452900735178,0.17388448125624656,0.16963551774396357,0.17385242064130235,0.16783818318859178,0.17358210779942518,0.1780304265467454,0.16898100156763385,0.169357869382753,0.1674453888423023,0.1674453888423023,0.1674453888423022,0.1674453888423022,0.16983686006798226,0.196159887885611,0.16940297266569493,0.17075640386730995,0.16870809491411476,0.171095229409999,0.20122976824293137,0.21941501186453505,0.1748463869073651,0.1674453888423023,0.2185850444798031,0.16856273015742662,0.22728029101204827,0.1674453888423022,0.17409574487675794,0.169403562458884,0.18345987139497333,0.16813013289062884,0.17654732234678372,0.20326874951368779,0.16868688689143585,0.187504643045026,0.1887229482531264
Dendritic,0.17077780148438582,0.17474399852734446,0.16831971159504078,0.1674453888423022,0.18043820361873175,0.1674453888423022,0.169233341407653,0.16912184999020163,0.2385951200498705,0.17151679365030204,0.1758951547915789,0.16844796762903458,0.18160108778021578,0.17823894522341688,0.1674453888423022,0.17200014753364345,0.17375572050355093,0.1674453888423023,0.1674453888423022,0.18067869941858927,0.16928682203856638,0.19063142477324768,0.1691486597775752,0.16938505364626033,0.16771406301779213,0.22960127721056012,0.19911076445697418,0.22396321150963272,0.2144735623424575,0.16828633338838683,0.17341817807931137,0.16856701312364164,0.20182861685017695,0.16920602468629087,0.25798418153499314,0.1730965851153491,0.18838649447180955,0.18328158574965425,0.17012192247216673,0.206702958783629,0.17298897141464753,0.1882610663922536,0.18372850579802102
Macs 3,0.1867540002811322,0.18158561078739122,0.17300266792300922,0.1674453888423023,0.2106818368749498,0.19919847024229365,0.17431597887289052,0.17358956662401115,0.19483959541002205,0.17302433544400875,0.1861083325681373,0.17248259622015438,0.1742013782028391,0.19261665500494773,0.1678867890771557,0.17276330727724176,0.16911344742946322,0.1674453888423023,0.1674453888423023,0.16920375548477984,0.1749659097193771,0.21681499846268681,0.1743565152512434,0.17618814126877247,0.17120333190587222,0.17494016260568146,0.20792857621692862,0.2173441085566432,0.1925746004989497,0.1694221630818562,0.19536994415061626,0.17234851541056562,0.24592986489685897,0.16980595112373364,0.18711682732373058,0.1758555644174793,0.21763866608054072,0.17515977903467406,0.1746766971828041,0.21580451179653715,0.17413725769918942,0.20714604622575483,0.2097784406704083
